業務組別,特約類別,縣市別,醫事機構名稱,各類病床使用情形網址
,,65000000,佛教慈濟醫療財團法人台北慈濟醫院,http://app.tzuchi.com.tw/tzuchi/AdmBedQry/BedQry.aspx?Hosp=XD
,,65000000,國泰醫療財團法人汐止國泰綜合醫院,http://med.cgh.org.tw/unit/branch/Pharmacy/bed/sijhih/EmptyBed.pdf
,,10002000,醫療財團法人羅許基金會羅東博愛醫院,https://www.pohai.org.tw/sickbed.php
,,65000000,天主教耕莘醫療財團法人耕莘醫院,http://www.cth.org.tw/?aid=602&iid=6
,,10002000,天主教靈醫會醫療財團法人羅東聖母醫院,https://gcreg.smh.org.tw/admhosbed/view/domain/bed/ACS350233A.aspx
,,63000000,臺北醫學大學附設醫院,http://219.87.146.148/ipd_bed/
,,65000000,衛生福利部臺北醫院,http://www.ptph.gov.tw/ER/Hbed.aspx
,,65000000,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,https://shh.tmu.edu.tw/OldShhorg/page/ShhAllBed.aspx
,,63000000,醫療財團法人辜公亮基金會和信治癌中心醫院,https://www.kfsyscc.org/m/patient_service_outpatient_clinic_process
,,65000000,行天宮醫療志業醫療財團法人恩主公醫院,http://210.242.237.231/NecessaryInfor/ECK_BedList.aspx
,地區醫院,63000000,63000000立關渡醫院-委託臺北榮民總醫院經營,http://webapphis.gandau.gov.tw/webapphis/admbedinfo.aspx
,,9020000,衛生福利部金門醫院,https://www.kmhp.mohw.gov.tw/?aid=306
,,10002000,臺北榮民總醫院蘇澳分院,https://internetservice.savh.gov.tw/BedInfo
,,65000000,65000000立土城醫院〈委託長庚醫療財團法人興建經營〉,https://webapp.cgmh.org.tw/bed/view/domain/bed/ACS350233V.aspx
北區,區域醫院,10003000,衛生福利部桃園醫院,http://www.tygh.mohw.gov.tw/?aid=311&pid=0
,,10018000,國立臺灣大學醫學院附設醫院新竹分院,https://reg.ntuh.gov.tw/NTUHEmptyBedCount/NTUHEmptyBedCountT4.aspx
,,10003000,臺北榮民總醫院桃園分院,http://www.tyvh.gov.tw/index.php?module=NewsInfo&action=news1_list
,,10005000,衛生福利部苗栗醫院,https://www.mil.mohw.gov.tw/?aid=505&iid=6
,,,財團法人為恭紀念醫院,http://www.weigong.org.tw/hospitalized-bedqty.html
,地區醫院,10004000,臺北榮民總醫院新竹分院,http://www.vhct.gov.tw/index.php?mo=SitePage&ac=sitepage_show&pgsn=55
,,10003000,長庚醫療財團法人桃園長庚紀念醫院,https://webapp.cgmh.org.tw/bed/view/domain/bed/ACS350233.aspx
中區,醫學中心,10019000,臺中榮民總醫院,http://www.vghtc.gov.tw/GipOpenWeb/wSite/sp?xdUrl=/wSite/query/portal/ADMService.jsp&ctNode=244&idPath=214_219_244&mp=1
,,10019000,中山醫學大學附設醫院,http://www.csh.org.tw/file/CountBed/大慶.pdf
,,10019000,中國醫藥大學附設醫院,http://www.cmuh.cmu.edu.tw/web/current_bed_availability.php
,,10007000,彰化基督教醫療財團法人彰化基督教醫院,http://www.cch.org.tw/news/CCH_bed.aspx
,區域醫院,10019000,衛生福利部臺中醫院,http://www02.taic.mohw.gov.tw/bed/asp/bed.asp
,,10019000,澄清綜合醫院中港分院,http://www.ccgh.com.tw/html/webpage.aspx?pagetype=4&otherkind=B-0001&pageno=0
,,10019000,光田醫療社團法人光田綜合醫院,http://www.ktgh.com.tw/BednoInfo_Show.asp?CatID=80&ModuleType=Y
,,10019000,佛教慈濟醫療財團法人台中慈濟醫院,http://app.tzuchi.com.tw/tzuchi/AdmBedQry/BedQry.aspx?Hosp=XD
,,10019000,童綜合醫療社團法人童綜合醫院,http://www.sltung.com.tw/OPD/bmonline.htm
,,10019000,衛生福利部豐原醫院,http://www.fyh.mohw.gov.tw/?aid=502&pid=0&page_name=detail&iid=11
,,10007000,衛生福利部彰化醫院,http://www.chhw.mohw.gov.tw
,,10008000,埔基醫療財團法人埔里基督教醫院,http://spweb.pch.org.tw/SitePages/%e5%85%ac%e5%91%8a%e8%b3%87%e6%96%99.aspx
,,10008000,衛生福利部南投醫院,http://netreg01.nant.mohw.gov.tw/stat01/%E7%97%85%E6%88%BF%E4%BD%94%E5%BA%8A%E7%8E%87_001.jpg
,地區醫院,10019000,醫療財團法人正德癌症醫療基金會佛教正德醫院,https://www.bch.org.tw 首頁(往下拉到底)/病房動態
,,10008000,臺中榮民總醫院埔里分院,http://www.pulivh.gov.tw
南區,醫學中心,10021000,國立成功大學醫學院附設醫院,http://service.hosp.ncku.edu.tw/medicalaffair/病床概況網路版.htm
,,10021000,奇美醫療財團法人奇美醫院,http://www.chimei.org.tw/佔床率查詢/佔床率查詢.aspx?ihospital=10&ffloor=
,區域醫院,10021000,衛生福利部臺南醫院,http://web.tnhosp.mohw.gov.tw/tn/MRD/病床利用統計/病床利用統計.xls
,,10009000,國立臺灣大學醫學院附設醫院雲林分院,https://reg.ntuh.gov.tw/NTUHEmptyBedCount/NTUHEmptyBedCountY0.aspx
,,10021000,台灣基督長老教會新樓醫療財團法人台南新樓醫院,http://59.125.233.216/sinlau/pgm/imbed/IMBED1.asp
,,10020000,戴德森醫療財團法人嘉義基督教醫院,http://www.cych.org.tw/cychweb/er/ipd_news.aspx
,,10020000,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,http://www.stm.org.tw/2010/bed_all.asp
,,10020000,臺中榮民總醫院嘉義分院,http://www.vhcy.gov.tw/vhcy/web/02about/01about_7.htm
,,10010000,長庚醫療財團法人嘉義長庚紀念醫院,https://www.cgmh.org.tw/bed/index.asp
,,10010000,佛教慈濟醫療財團法人大林慈濟醫院,http://app.tzuchi.com.tw/tzuchi/AdmBedQry/BedQry.aspx?Hosp=XD
,,10021000,奇美醫療財團法人柳營奇美醫院,http://www.chimei.org.tw/佔床率查詢/佔床率查詢.aspx?ihospital=13&ffloor=
,,10021000,10021000立安南醫院-委託中國醫藥大學興建經營,http://www.tmanh.org.tw/Announce/CurrentBedAvailability
,地區醫院,10010000,衛生福利部朴子醫院,http://blog.xuite.net/potzh/blog
,地區醫院,10020000,衛生福利部嘉義醫院,https://www.chyi.mohw.gov.tw/Default.asp?aid=310
,地區醫院,10021000,高雄榮民總醫院臺南分院,http://www.vhyk.gov.tw/?=19C9C118F984AFDB
高屏,醫學中心,64000000,高雄榮民總醫院,http://www.vghks.gov.tw/cp.aspx?n=0F10DDD6476FAE07&s=FD6009CCAF2C13A5
,,64000000,長庚醫療財團法人高雄長庚紀念醫院,https://webapp.cgmh.org.tw/bed/view/domain/bed/ACS350233.aspx
,,64000000,財團法人私立高雄醫學大學附設中和紀念醫院,https://www.kmuh.org.tw/KMUHInterWeb/MedService/HospitalBed/1001124099
,區域醫院,10013000,衛生福利部屏東醫院,https://www.pntn.mohw.gov.tw/?aid=310
,,10013000,屏基醫療財團法人屏東基督教醫院,http://www.ptch.org.tw/bed/info.asp
,地區醫院,64000000,天主教聖功醫療財團法人聖功醫院,http://web.joseph.org.tw/page_194.htm
,,64000000,惠川醫院,http://www.hui-healthy.com.tw/big5/site_item_content_2.php?site_map_item_id=166
,,64000000,64000000立民生醫院,http://tre.kmsh.gov.tw/inpq200.aspx
,,64000000,義大醫療財團法人義大癌治療醫院,https://edhg.edah.org.tw/Immediate_2?O=EC&P=BED#C
,,64000000,小港醫院,http://www.kmhk.org.tw/news/bedno.asp
,,64000000,衛生福利部旗山醫院,https://www.chis.mohw.gov.tw/?aid=306&pid=0&page_name=list&pageNo=1
,,10013000,民眾醫院,http://acp.hospital-ez.com.tw/bed/
,,10013000,衛生福利部恆春旅遊醫院,http://www.pnhb.mohw.gov.tw/?aid=515
,,10016000,衛生福利部澎湖醫院,https://www.pngh.mohw.gov.tw/?aid=301&pid=0&page_name=detail&iid=2063
東區,醫學中心,10015000,佛教慈濟醫療財團法人花蓮慈濟醫院,http://app.tzuchi.com.tw/tzuchi/AdmBedQry/BedQry.aspx?Hosp=XD
,區域醫院,10015000,臺灣基督教門諾會醫療財團法人門諾醫院,http://www.mch.org.tw/Docs/564/Default.aspx
,地區醫院,10015000,衛生福利部花蓮醫院,http://webreg.hwln.mohw.gov.tw/hwln_bed/bedquery.aspx
,,10015000,臺北榮民總醫院玉里分院,http://www.vhyl.gov.tw/bed_vhyl.htm
,,10014000,天主教花蓮教區醫療財團法人台東聖母醫院,http://www.st-mary.org.tw/news/show_vacant_bed.php
,,10014000,臺北榮民總醫院臺東分院,http://www.vhtt.gov.tw/index.php
,,10014000,衛生福利部臺東醫院,https://www.tait.mohw.gov.tw/?aid=306
