編號,機構代碼,機構名稱,產後護理床開放床數,嬰兒床開放床數,機構地址,連絡電話,督考或評鑑結果
42,7401011486,御兒軒產後護理之家,16,18,臺北市松山區南京東路五段108號11樓,(02) 2747-9797,督考合格
43,7401011388,晶英產後護理之家,20,22,臺北市松山區健康路152、156號6樓,(02) 2745-8880,督考合格
44,7401011477,國泰台北會館產後護理之家,12,14,臺北市松山區健康路152、156號7至8樓,(02) 2739-2029,督考合格
45,7401011593,人之初敦化館產後護理之家,24,30,臺北市松山區敦化北路230號1-3樓,(02) 2713-1680,督考合格
46,7401011637,禧悅生小巨蛋壹館產後護理之家,9,11,臺北市松山區八德路三段32號14樓,(02) 2578-6155,督考合格
47,7401011646,禧悅生小巨蛋貳館產後護理之家,9,11,臺北市松山區八德路三段30號14樓,(02) 2578-6155,督考合格
48,7401170515,滿園產後護理之家,11,15,臺北市信義區光復南路415號2樓,(02) 2345-8767,督考合格
49,7401170579,彌月房慶生產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓,(02) 2753-3770,督考合格
50,7401170622,彌月房信義產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓之1、13樓之2,(02) 2753-3777,督考合格
51,7401170588,御兒產後護理之家,24,29,臺北市信義區信義路五段109、111號2樓,(02) 2722-3380,評鑑合格
