年度,區域,私有資產名稱,同意補助項目,核定補助經費
109,大安區,市定古蹟「義芳居古厝」,臺北市市定古蹟「義芳居古厝」右梢間局部牆體及屋頂緊急搶修工程,(廢止補助)
109,大安區,市定古蹟「內湖郭氏古宅」,臺北市市定古蹟「內湖郭氏古宅」外牆及屋頂防水緊急搶修工程計畫,2583422
109,北投區,市定古蹟「北投文物館」,"臺北市市定古蹟「北投文物館」緊急搶修工程計畫(核定總經費169萬8,506元整。109年私有文化資產補助資本門支應58萬6,973元、109年公有文化資產補助資本門支應111萬1,533元。)",586973
109,大安區,市定古蹟「清真寺」,臺北市市定古蹟「清真寺」修復工程規劃設計（第二期）,912000
109,大同區,市定古蹟「陳德星堂」,直轄市定古蹟「陳德星堂」修復工程及周邊設施整備工程規劃設計（第一期),509884
109,北投區,市定古蹟「北投文物館」,108年度臺北市市定古蹟「北投文物館」古蹟日常管理維護計畫(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,600000
109,大安區,市定古蹟「清真寺」,市定古蹟「清真寺」修復及再利用計畫(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,382500
109,大同區,市定古蹟「陳天來故居」,市定古蹟「陳天來故居」修復再利用計畫(含測繪工作)(配合文化部文化資產局108年度B類有形文化資產補助)＊配合文化部審核結果補助,900000
109,大同區,市定古蹟「陳天來故居」,臺北市市定古蹟「陳天來故居」管理維護計畫(配合文化部文化資產局109年度B類有形文化資產補助)＊配合文化部審核結果補助,17500
109,大同區,市定古蹟「延平基督教會」,臺北市市定古蹟「延平基督教會」修復及再利用計畫(含管理維護),600000
109,大同區,市市定古蹟「陳德星堂」,臺北市市定古蹟「陳德星堂」修復及再利用計畫,800000
109,大安區,市定古蹟「義芳居古厝」,臺北市市定古蹟「義芳居古厝」修復再利用計畫(含管理維護),1250000
109,萬華區,市定古蹟「學海學院(今高氏宗祠)」,臺北市市定古蹟「學海學院(今高氏宗祠)」修復及再利用計畫,450000
109,大同區,市定古蹟「大稻埕千秋街店屋」(貴德街53號),臺北市市定古蹟「大稻埕千秋街店屋」(貴德街53號)日常管理維護計畫(配合文化部文化資產局109年度B類有形文化資產補助)＊配合文化部審核結果補助(文化部文化資產局核定總經費70萬元整，本市配合款比例50%，經費上限35萬元。109年私有文化資產補助經常門支應0元、109年公有文化資產補助經常門支應35萬元。),350000
110,北投區,直轄市定古蹟「北投文物館」,直轄市定古蹟「北投文物館」管理維護計畫(配合文化部文化資產局110年度B類有形文化資產補助)＊配合文化110.4.19審核結果補助,520000
110,大同區,歷史建築「廣和堂藥舖」,歷史建築「廣和堂藥舖」管理維護計畫(配合文化部文化資產局110年度B類有形文化資產補助)＊配合文化部審核結果補助,200000
110,大同區,直轄市定古蹟「大稻埕千秋街店屋」,直轄市定古蹟「大稻埕千秋街店屋」修復及再利用計畫 ,640000
110,北投區,直轄市定古蹟「北投文物館」,直轄市定古蹟「北投文物館」修復及再利用計畫,1080000
110,北投區,直轄市定古蹟「北投普濟寺」,直轄市定古蹟「北投普濟寺」修復及再利用計畫（含管理維護計畫）,900000
110,中正區,直轄市定古蹟「觀音禪堂」,直轄市定古蹟「觀音禪堂」修復及再利用計畫（含管理維護計畫）,640000
110,大同區,歷史建築「安西街周宅」,歷史建築「安西街周宅」修復及再利用計畫,1000000
110,中正區,歷史建築「明星咖啡館」,歷史建築「明星咖啡館」修復及再利用計畫,1260000
110,中正區,歷史建築「沅陵街42號店屋」,歷史建築「沅陵街42號店屋」修復及再利用計畫,640000
110,大同區,歷史建築「波麗路餐廳」,歷史建築「波麗路餐廳」修復及再利用計畫（含管理維護計畫）,720000
110,內湖區,直轄市定古蹟「內湖郭氏古宅」,直轄市定古蹟「內湖郭氏古宅」修復及再利用計畫,640000
110,萬華區,直轄市定古蹟「艋舺助順將軍廟（晉德宮）」,直轄市定古蹟「艋舺助順將軍廟（晉德宮）」修復及再利用計畫補遺,600000
110,中山區,直轄市定古蹟「中山基督長老教會」,直轄市定古蹟「中山基督長老教會」管理維護計畫,100000
110,大同區,歷史建築「華亭街31號店屋」,歷史建築「華亭街31號店屋」修復及再利用計畫(含管理維護計畫),855000
110,大同區,直轄市定古蹟「陳天來故居」,直轄市定古蹟「陳天來故居」文物維護、搶救及保存計畫,2250000
110,大同區,歷史建築「李臨秋故居」,歷史建築「李臨秋故居」修復工程規劃設計(含因應計畫),800000
110,大同區,直轄市定古蹟「學海書院（今高氏宗祠）,直轄市定古蹟「學海書院（今高氏宗祠）」彩繪、門神及泥塑等緊急加固保存計畫,4680000
111,中山區,直轄市定古蹟「中山基督長老教會」,直轄市定古蹟「中山基督長老教會」修復及再利用計畫(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助, (中央補助)
111,中山區,直轄市定古蹟「臨濟護國禪寺」,直轄市定古蹟「臨濟護國禪寺」修復及再利用計畫(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,1000000
111,大同區,歷史建築「原周進春茶行（部分） 」,歷史建築「原周進春茶行(部分)」修復及再利用計畫(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,665000
111,士林區,直轄市定古蹟「大東路 54 號店屋」,直轄市定古蹟「大東路 54 號店屋」修復及再利用計畫（含管理維護計畫）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,1120000
111,北投區,直轄市定古蹟「北投文物館」,直轄市定古蹟「北投文物館」日常管理維護計畫(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,564000
111,北投區,直轄市定古蹟「北投縠倉」,直轄市定古蹟「北投穀倉」修復及再利用計畫,800000
111,北投區,直轄市定古蹟「長老教會北投教堂」,直轄市定古蹟「長老教會北投教堂」修復及再利用計畫,900000
111,萬華區,直轄市定古蹟「慈雲寺」,直轄市定古蹟「慈雲寺」修復及再利用計畫,1080000
111,萬華區,直轄市定古蹟「朝北醫院」,直轄市定古蹟「朝北醫院」修復工程工作報告書,440000
111,松山區,直轄市定古蹟「松山陳宅」,直轄市定古蹟「松山陳宅」修復及再利用計畫,600000
111,大同區,直轄市定古蹟「陳天來故居」,直轄市定古蹟「陳天來故居」後側庭園及周邊設施修復工程規劃設計（含因應計畫）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,400000
111,萬華區,直轄市定古蹟「助順將軍廟（晉德宮）」,直轄市定古蹟「助順將軍廟（晉德宮）」修復工程（含監造）（第四期）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,6200000
111,萬華區,直轄市定古蹟「學海書院(今高氏宗祠)」修復工程(含監造)(第二期）,直轄市定古蹟「學海書院(今高氏宗祠)」修復工程(含監造)(第二期）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,19400000
111,萬華區,直轄市定古蹟「艋舺洪氏祖厝」緊急搶修工程,直轄市定古蹟「艋舺洪氏祖厝」緊急搶修工程(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,3315000
111,大同區,歷史建築「李臨秋故居」,歷史建築「李臨秋故居」修復及再利用工程（含監造）(配合文化部再造歷史現場專案計畫（112-114年）補助)＊配合文化部審核結果補助,7876000
