年,月,組別,役別,梯退人數,零退人數,遷入人數,小計人數
113,4,公共服務總,司法行政役,1293,1,411,1705
113,4,公共服務總,土地測量役,60,0,24,84
113,4,公共服務總,外交役,139,1,59,199
113,4,公共服務總,經濟安全役,88,0,32,120
113,4,公共服務總,觀光服務役,229,1,97,327
113,4,公共服務總,公共行政役,3825,210,1381,5416
113,4,公共服務總,體育役,52,0,84,136
113,4,公共服務總,研發替代役,2335,1,670,3006
113,4,公共服務總,產業訓儲替代役,38,0,11,49
113,4,其他,其他,115,460,399,974
113,5,防災救護組,消防役,2977,2,724,3703
113,5,治安維護組,保安警力,798,2,200,1000
113,5,治安維護組,交通助理,603,0,187,790
113,5,治安維護組,社區巡守,551,2,145,698
113,5,治安維護組,矯正機關勤務,661,3,219,883
113,5,治安維護組,收容處所警衛,193,0,59,252
113,5,治安維護組,安全維護,1081,1,277,1359
113,5,社會服務組,社會役,3706,6,887,4599
113,5,社會服務組,環境保育,289,2,128,419
113,5,社會服務組,水利維護,335,0,137,472
113,5,社會服務組,醫療役,176,0,140,316
113,5,社會服務組,教育服務役,1843,3,836,2682
113,5,社會服務組,農業服務役,186,0,65,251
113,5,公共服務總,文化服務役,454,0,162,616
113,5,公共服務總,司法行政役,1287,1,415,1703
113,5,公共服務總,土地測量役,60,0,25,85
113,5,公共服務總,外交役,139,1,59,199
113,5,公共服務總,經濟安全役,86,0,33,119
113,5,公共服務總,觀光服務役,229,1,99,329
113,5,公共服務總,公共行政役,3809,209,1397,5415
113,5,公共服務總,體育役,52,0,84,136
113,5,公共服務總,研發替代役,2345,1,685,3031
113,5,公共服務總,產業訓儲替代役,38,0,13,51
113,5,其他,其他,149,455,409,1013
113,6,防災救護組,消防役,2979,2,727,3708
113,6,防災救護組,社會役,3723,6,897,4626
113,6,防災救護組,農業服務役,186,0,64,250
113,6,防災救護組,教育服務役,1833,3,843,2679
113,6,防災救護組,研發替代役,2348,1,694,3043
113,6,防災救護組,產業訓儲替代役,38,0,13,51
113,6,防災救護組,醫療役,175,0,141,316
113,6,治安維護組,保安警力,796,2,203,1001
113,6,治安維護組,交通助理,599,0,190,789
113,6,治安維護組,社區巡守,550,2,147,699
113,6,治安維護組,矯正機關勤務,657,3,223,883
113,6,治安維護組,收容處所警衛,192,0,61,253
113,6,治安維護組,安全維護,1077,1,281,1359
113,6,治安維護組,民防役,32,0,0,32
113,6,治安維護組,公共行政役,3799,210,1410,5419
113,6,治安維護組,外交役,139,1,59,199
113,6,治安維護組,司法行政役,1285,1,418,1704
113,6,治安維護組,經濟安全役,86,0,33,119
113,6,治安維護組,文化服務役,454,0,162,616
113,6,治安維護組,體育役,52,0,84,136
113,6,治安維護組,觀光服務役,229,1,100,330
113,6,治安維護組,土地測量役,60,0,26,86
113,6,治安維護組,水利維護,333,0,138,471
113,6,治安維護組,環境保育,288,2,128,418
113,6,治安維護組,其他,131,452,411,994
113,7,防災救護組,消防役,2969,2,742,3713
113,7,防災救護組,社會役,3729,3,906,4638
113,7,防災救護組,農業服務役,186,0,68,254
113,7,防災救護組,教育服務役,1827,3,843,2673
113,7,防災救護組,研發替代役,2326,1,710,3037
113,7,防災救護組,產業訓儲替代役,38,0,12,50
113,7,防災救護組,醫療役,173,0,141,314
113,7,治安維護組,保安警力,792,2,205,999
113,7,治安維護組,交通助理,593,0,192,785
113,7,治安維護組,社區巡守,546,2,147,695
113,7,治安維護組,矯正機關勤務,655,3,223,881
113,7,治安維護組,收容處所警衛,191,0,62,253
113,7,治安維護組,安全維護,1069,1,286,1356
113,7,治安維護組,民防役,48,0,0,48
113,7,治安維護組,公共行政役,3795,210,1435,5440
113,7,治安維護組,外交役,138,1,58,197
113,7,治安維護組,司法行政役,1277,1,423,1701
113,7,治安維護組,經濟安全役,86,0,35,121
113,7,治安維護組,文化服務役,453,1,163,617
113,7,治安維護組,體育役,52,0,85,137
113,7,治安維護組,觀光服務役,228,1,100,329
113,7,治安維護組,土地測量役,60,0,26,86
113,7,治安維護組,水利維護,331,0,139,470
113,7,治安維護組,環境保育,288,2,128,418
113,7,治安維護組,其他,113,484,414,1011
113,8,防災救護組,消防役,2961,2,749,3712
113,8,防災救護組,社會役,3726,4,921,4651
113,8,防災救護組,農業服務役,186,0,67,253
113,8,防災救護組,教育服務役,1815,3,849,2667
113,8,防災救護組,研發替代役,2325,1,729,3055
113,8,防災救護組,產業訓儲替代役,37,0,13,50
113,8,防災救護組,醫療役,171,0,142,313
113,8,治安維護組,保安警力,787,2,203,992
113,8,治安維護組,交通助理,591,0,191,782
113,8,治安維護組,社區巡守,544,2,151,697
113,8,治安維護組,矯正機關勤務,653,3,228,884
113,8,治安維護組,收容處所警衛,190,0,63,253
113,8,治安維護組,安全維護,1062,1,288,1351
113,8,治安維護組,民防役,78,0,1,79
113,8,治安維護組,公共行政役,3789,208,1434,5431
113,8,治安維護組,外交役,138,1,58,197
113,8,治安維護組,司法行政役,1271,1,429,1701
113,8,治安維護組,經濟安全役,86,0,36,122
113,8,治安維護組,文化服務役,452,1,164,617
113,8,治安維護組,體育役,52,0,86,138
113,8,治安維護組,觀光服務役,227,1,99,327
113,8,治安維護組,土地測量役,60,0,26,86
113,8,治安維護組,水利維護,326,0,138,464
113,8,治安維護組,環境保育,285,2,129,416
113,8,治安維護組,其他,110,480,421,1011
113,9,防災救護組,消防役,2942,2,765,3709
113,9,防災救護組,社會役,3712,4,943,4659
113,9,防災救護組,農業服務役,184,0,68,252
113,9,防災救護組,教育服務役,1801,3,857,2661
113,9,防災救護組,研發替代役,2324,1,740,3065
113,9,防災救護組,產業訓儲替代役,35,0,15,50
113,9,防災救護組,醫療役,170,0,139,309
113,9,治安維護組,保安警力,782,2,205,989
113,9,治安維護組,交通助理,588,0,192,780
113,9,治安維護組,社區巡守,536,2,154,692
113,9,治安維護組,矯正機關勤務,649,3,229,881
113,9,治安維護組,收容處所警衛,188,0,62,250
113,9,治安維護組,安全維護,1054,1,294,1349
113,9,治安維護組,民防役,96,0,1,97
113,9,治安維護組,公共行政役,3762,208,1455,5425
113,9,治安維護組,外交役,138,1,58,197
113,9,治安維護組,司法行政役,1263,1,434,1698
113,9,治安維護組,經濟安全役,85,0,37,122
113,9,治安維護組,文化服務役,452,1,166,619
113,9,治安維護組,體育役,51,0,87,138
113,9,治安維護組,觀光服務役,226,1,98,325
113,9,治安維護組,土地測量役,58,0,28,86
113,9,治安維護組,水利維護,323,0,143,466
113,9,治安維護組,環境保育,283,2,135,420
113,9,治安維護組,其他,110,473,432,1015
113,10,防災救護組,消防役,2929,2,772,3703
113,10,防災救護組,社會役,3723,5,958,4686
113,10,防災救護組,農業服務役,182,0,70,252
113,10,防災救護組,教育服務役,1790,3,869,2662
113,10,防災救護組,研發替代役,2321,1,750,3072
113,10,防災救護組,產業訓儲替代役,34,0,15,49
113,10,防災救護組,醫療役,169,0,140,309
113,10,治安維護組,保安警力,778,2,207,987
113,10,治安維護組,交通助理,586,0,192,778
113,10,治安維護組,社區巡守,534,2,156,692
113,10,治安維護組,矯正機關勤務,649,3,231,883
113,10,治安維護組,收容處所警衛,184,0,63,247
113,10,治安維護組,安全維護,1051,1,295,1347
113,10,治安維護組,民防役,97,0,2,99
113,10,治安維護組,公共行政役,3753,209,1461,5423
113,10,治安維護組,外交役,137,1,59,197
113,10,治安維護組,司法行政役,1258,1,438,1697
113,10,治安維護組,經濟安全役,85,0,36,121
113,10,治安維護組,文化服務役,452,1,166,619
113,10,治安維護組,體育役,50,0,88,138
113,10,治安維護組,觀光服務役,225,1,99,325
113,10,治安維護組,土地測量役,58,0,29,87
113,10,治安維護組,水利維護,322,0,144,466
113,10,治安維護組,環境保育,281,2,135,418
113,10,治安維護組,其他,110,471,437,1018
113,11,防災救護組,消防役,2924,2,780,3706
113,11,防災救護組,社會役,3716,6,964,4686
113,11,防災救護組,農業服務役,183,0,70,253
113,11,防災救護組,教育服務役,1779,3,881,2663
113,11,防災救護組,研發替代役,2346,1,765,3112
113,11,防災救護組,產業訓儲替代役,34,0,17,51
113,11,防災救護組,醫療役,167,0,143,310
113,11,治安維護組,保安警力,778,2,211,991
113,11,治安維護組,交通助理,584,0,194,778
113,11,治安維護組,社區巡守,532,2,157,691
113,11,治安維護組,矯正機關勤務,648,3,233,884
113,11,治安維護組,收容處所警衛,183,0,64,247
113,11,治安維護組,安全維護,1047,1,296,1344
113,11,治安維護組,民防役,145,0,2,147
113,11,治安維護組,公共行政役,3740,209,1471,5420
113,11,治安維護組,外交役,137,1,59,197
113,11,治安維護組,司法行政役,1250,0,442,1692
113,11,治安維護組,經濟安全役,85,0,36,121
113,11,治安維護組,文化服務役,450,1,170,621
113,11,治安維護組,體育役,50,0,88,138
113,11,治安維護組,觀光服務役,223,1,99,323
113,11,治安維護組,土地測量役,56,0,31,87
113,11,治安維護組,水利維護,321,0,147,468
113,11,治安維護組,環境保育,278,2,138,418
113,11,治安維護組,其他,110,469,436,1015
113,12,防災救護組,消防役,2906,2,790,3698
113,12,防災救護組,社會役,3697,5,971,4673
113,12,防災救護組,農業服務役,182,0,71,253
113,12,防災救護組,教育服務役,1763,2,889,2654
113,12,防災救護組,研發替代役,2331,1,777,3109
113,12,防災救護組,產業訓儲替代役,33,0,17,50
113,12,防災救護組,醫療役,166,0,147,313
113,12,治安維護組,保安警力,775,2,211,988
113,12,治安維護組,交通助理,584,0,198,782
113,12,治安維護組,社區巡守,528,2,160,690
113,12,治安維護組,矯正機關勤務,644,3,234,881
113,12,治安維護組,收容處所警衛,183,0,64,247
113,12,治安維護組,安全維護,1043,1,296,1340
113,12,治安維護組,民防役,186,0,3,189
113,12,治安維護組,公共行政役,3728,208,1491,5427
113,12,治安維護組,外交役,137,1,58,196
113,12,治安維護組,司法行政役,1246,0,444,1690
113,12,治安維護組,經濟安全役,85,0,38,123
113,12,治安維護組,文化服務役,449,1,173,623
113,12,治安維護組,體育役,48,0,88,136
113,12,治安維護組,觀光服務役,222,1,103,326
113,12,治安維護組,土地測量役,56,0,31,87
113,12,治安維護組,水利維護,318,0,146,464
113,12,治安維護組,環境保育,276,2,137,415
113,12,治安維護組,其他,109,466,440,1015
114,1,防災救護組,消防役,2799,2,752,3553
114,1,治安維護組,保安警力,687,2,186,875
114,1,治安維護組,交通助理,517,0,166,683
114,1,治安維護組,社區巡守,506,2,150,658
114,1,治安維護組,矯正機關勤務,593,3,213,809
114,1,治安維護組,收容處所警衛,165,0,58,223
114,1,治安維護組,安全維護,981,1,260,1242
114,1,社會服務組,社會役,3437,5,825,4267
114,1,社會服務組,環境保育,217,1,102,320
114,1,社會服務組,水利維護,266,0,111,377
114,1,社會服務組,醫療役,141,0,111,252
114,1,社會服務組,教育服務役,1476,2,706,2184
114,1,社會服務組,農業服務役,166,0,66,232
114,1,公共服務總,文化服務役,366,1,133,500
114,1,公共服務總,司法行政役,1088,0,375,1463
114,1,公共服務總,土地測量役,49,0,25,74
114,1,公共服務總,外交役,123,1,45,169
114,1,公共服務總,經濟安全役,61,0,25,86
114,1,公共服務總,觀光服務役,196,1,91,288
114,1,公共服務總,公共行政役,3438,163,1325,4926
114,1,公共服務總,體育役,41,0,71,112
114,1,公共服務總,研發替代役,2017,1,590,2608
114,1,公共服務總,產業訓儲替代役,31,0,16,47
114,1,其他,其他,113,445,370,928
114,2,防災救護組,消防役,2805,2,762,3569
114,2,治安維護組,保安警力,687,2,189,878
114,2,治安維護組,交通助理,511,0,170,681
114,2,治安維護組,社區巡守,502,2,155,659
114,2,治安維護組,矯正機關勤務,589,3,213,805
114,2,治安維護組,收容處所警衛,164,0,57,221
114,2,治安維護組,安全維護,971,1,265,1237
114,2,社會服務組,社會役,3445,5,834,4284
114,2,社會服務組,環境保育,213,1,103,317
114,2,社會服務組,水利維護,265,0,111,376
114,2,社會服務組,醫療役,139,0,113,252
114,2,社會服務組,教育服務役,1466,2,713,2181
114,2,社會服務組,農業服務役,165,0,66,231
114,2,公共服務總,文化服務役,359,1,137,497
114,2,公共服務總,司法行政役,1079,0,373,1452
114,2,公共服務總,土地測量役,49,0,25,74
114,2,公共服務總,外交役,121,1,45,167
114,2,公共服務總,經濟安全役,60,0,25,85
114,2,公共服務總,觀光服務役,195,1,90,286
114,2,公共服務總,公共行政役,3417,162,1339,4918
114,2,公共服務總,體育役,41,0,71,112
114,2,公共服務總,研發替代役,2024,0,592,2616
114,2,公共服務總,產業訓儲替代役,31,0,15,46
114,2,其他,其他,114,441,371,926
114,3,防災救護組,消防役,2795,2,770,3567
114,3,治安維護組,保安警力,677,2,188,867
114,3,治安維護組,交通助理,502,0,172,674
114,3,治安維護組,社區巡守,491,2,158,651
114,3,治安維護組,矯正機關勤務,580,3,218,801
114,3,治安維護組,收容處所警衛,162,0,57,219
114,3,治安維護組,安全維護,955,2,274,1231
114,3,社會服務組,社會役,3474,5,875,4354
114,3,社會服務組,環境保育,209,1,103,313
114,3,社會服務組,水利維護,262,0,108,370
114,3,社會服務組,醫療役,137,0,114,251
114,3,社會服務組,教育服務役,1443,2,719,2164
114,3,社會服務組,農業服務役,165,0,68,233
114,3,公共服務總,文化服務役,354,1,138,493
114,3,公共服務總,司法行政役,1064,0,383,1447
114,3,公共服務總,土地測量役,48,0,25,73
114,3,公共服務總,外交役,118,1,44,163
114,3,公共服務總,經濟安全役,58,0,25,83
114,3,公共服務總,觀光服務役,192,1,94,287
114,3,公共服務總,公共行政役,3391,165,1362,4918
114,3,公共服務總,體育役,39,0,70,109
114,3,公共服務總,研發替代役,2009,0,610,2619
114,3,公共服務總,產業訓儲替代役,30,0,14,44
114,3,其他,其他,23,1,9,33
114,4,防災救護組,消防役,2805,2,775,3582
114,4,治安維護組,保安警力,674,2,189,865
114,4,治安維護組,交通助理,501,0,173,674
114,4,治安維護組,社區巡守,487,2,162,651
114,4,治安維護組,矯正機關勤務,580,3,220,803
114,4,治安維護組,收容處所警衛,162,0,58,220
114,4,治安維護組,安全維護,950,2,276,1228
114,4,社會服務組,社會役,3500,5,886,4391
114,4,社會服務組,環境保育,209,1,103,313
114,4,社會服務組,水利維護,262,0,109,371
114,4,社會服務組,醫療役,137,0,116,253
114,4,社會服務組,教育服務役,1442,2,725,2169
114,4,社會服務組,農業服務役,165,0,68,233
114,4,公共服務總,文化服務役,353,1,139,493
114,4,公共服務總,司法行政役,1060,0,387,1447
114,4,公共服務總,土地測量役,48,0,26,74
114,4,公共服務總,外交役,118,1,44,163
114,4,公共服務總,經濟安全役,58,0,26,84
114,4,公共服務總,觀光服務役,190,1,95,286
114,4,公共服務總,公共行政役,3382,165,1369,4916
114,4,公共服務總,體育役,39,0,69,108
114,4,公共服務總,研發替代役,2054,0,612,2666
114,4,公共服務總,產業訓儲替代役,30,0,14,44
114,4,其他,其他,7,0,1,8
114,5,防災救護組,消防役,2798,2,788,3588
114,5,治安維護組,保安警力,669,2,190,861
114,5,治安維護組,交通助理,497,0,177,674
114,5,治安維護組,社區巡守,485,2,166,653
114,5,治安維護組,矯正機關勤務,575,3,223,801
114,5,治安維護組,收容處所警衛,161,0,58,219
114,5,治安維護組,安全維護,945,2,276,1223
114,5,防災救護組,社會役,3500,5,906,4411
114,5,治安維護組,環境保育,209,1,104,314
114,5,治安維護組,水利維護,259,0,109,368
114,5,防災救護組,醫療役,135,0,118,253
114,5,防災救護組,教育服務役,1424,2,729,2155
114,5,防災救護組,農業服務役,164,0,67,231
114,5,治安維護組,文化服務役,351,1,142,494
114,5,治安維護組,司法行政役,1053,0,394,1447
114,5,治安維護組,土地測量役,48,0,27,75
114,5,治安維護組,外交役,116,1,43,160
114,5,治安維護組,經濟安全役,58,0,26,84
114,5,治安維護組,觀光服務役,190,1,95,286
114,5,治安維護組,公共行政役,3362,164,1383,4909
114,5,治安維護組,體育役,39,0,68,107
114,5,防災救護組,研發替代役,2085,0,624,2709
114,5,防災救護組,產業訓儲替代役,30,0,14,44
114,5,治安維護組,民防役,429,3,10,442
114,5,治安維護組,資訊役,0,0,0,0
114,5,治安維護組,已訓警察人員,0,420,349,769
114,5,治安維護組,其他,13,0,1,14
114,6,防災救護組,消防役,2789,2,789,3580
114,6,治安維護組,保安警力,669,2,189,860
114,6,治安維護組,交通助理,496,0,178,674
114,6,治安維護組,社區巡守,483,2,165,650
114,6,治安維護組,矯正機關勤務,574,3,223,800
114,6,治安維護組,收容處所警衛,160,0,60,220
114,6,治安維護組,安全維護,940,2,279,1221
114,6,防災救護組,社會役,3510,5,916,4431
114,6,治安維護組,環境保育,208,1,106,315
114,6,治安維護組,水利維護,259,0,109,368
114,6,防災救護組,醫療役,135,0,119,254
114,6,防災救護組,教育服務役,1420,2,733,2155
114,6,防災救護組,農業服務役,163,0,68,231
114,6,治安維護組,文化服務役,349,1,144,494
114,6,治安維護組,司法行政役,1049,0,394,1443
114,6,治安維護組,土地測量役,48,0,28,76
114,6,治安維護組,外交役,116,1,43,160
114,6,治安維護組,經濟安全役,58,0,26,84
114,6,治安維護組,觀光服務役,189,1,97,287
114,6,治安維護組,公共行政役,3359,162,1391,4912
114,6,治安維護組,體育役,39,0,67,106
114,6,防災救護組,研發替代役,2119,0,636,2755
114,6,防災救護組,產業訓儲替代役,30,0,14,44
114,6,治安維護組,民防役,452,3,13,468
114,6,治安維護組,資訊役,0,0,0,0
114,6,治安維護組,已訓警察人員,0,419,352,771
114,7,治安維護組,其他,9,0,0,9
114,7,防災救護組,消防役,2794,2,790,3586
114,7,治安維護組,保安警力,667,2,190,859
114,7,治安維護組,交通助理,494,0,183,677
114,7,治安維護組,社區巡守,483,2,165,650
114,7,治安維護組,矯正機關勤務,572,3,222,797
114,7,治安維護組,收容處所警衛,160,0,61,221
114,7,治安維護組,安全維護,938,2,281,1221
114,7,防災救護組,社會役,3491,5,930,4426
114,7,治安維護組,環境保育,206,1,106,313
114,7,治安維護組,水利維護,253,0,113,366
114,7,防災救護組,醫療役,135,0,122,257
114,7,防災救護組,教育服務役,1415,2,747,2164
114,7,防災救護組,農業服務役,162,0,68,230
114,7,治安維護組,文化服務役,348,1,147,496
114,7,治安維護組,司法行政役,1046,0,396,1442
114,7,治安維護組,土地測量役,48,0,28,76
114,7,治安維護組,外交役,115,1,44,160
114,7,治安維護組,經濟安全役,58,0,26,84
114,7,治安維護組,觀光服務役,189,1,98,288
114,7,治安維護組,公共行政役,3359,162,1391,4912
114,7,治安維護組,體育役,39,0,67,106
114,7,防災救護組,研發替代役,2133,0,641,2774
114,7,防災救護組,產業訓儲替代役,30,0,14,44
114,7,治安維護組,民防役,477,2,16,495
114,7,治安維護組,資訊役,2,0,0,2
114,7,治安維護組,已訓警察人員,0,466,352,818
114,7,治安維護組,其他,7,0,0,7
114,8,防災救護組,消防役,2789,3,802,3594
114,8,治安維護組,保安警力,665,2,192,859
114,8,治安維護組,交通助理,492,0,183,675
114,8,治安維護組,社區巡守,478,2,166,646
114,8,治安維護組,矯正機關勤務,572,3,224,799
114,8,治安維護組,收容處所警衛,160,0,62,222
114,8,治安維護組,安全維護,929,2,287,1218
114,8,防災救護組,社會役,3486,4,944,4434
114,8,治安維護組,環境保育,205,1,107,313
114,8,治安維護組,水利維護,252,0,114,366
114,8,防災救護組,醫療役,134,0,122,256
114,8,防災救護組,教育服務役,1410,2,758,2170
114,8,防災救護組,農業服務役,160,0,68,228
114,8,治安維護組,文化服務役,344,1,151,496
114,8,治安維護組,司法行政役,1039,0,399,1438
114,8,治安維護組,土地測量役,48,0,28,76
114,8,治安維護組,外交役,114,1,45,160
114,8,治安維護組,經濟安全役,58,0,26,84
114,8,治安維護組,觀光服務役,189,1,98,288
114,8,治安維護組,公共行政役,3346,162,1410,4918
114,8,治安維護組,體育役,38,0,67,105
114,8,防災救護組,研發替代役,2151,0,652,2803
114,8,防災救護組,產業訓儲替代役,30,0,14,44
114,8,治安維護組,民防役,518,2,17,537
114,8,治安維護組,資訊役,6,0,0,6
114,8,治安維護組,已訓警察人員,0,466,360,826
114,8,治安維護組,其他,3,0,0,3
114,9,防災救護組,消防役,2790,3,815,3608
114,9,治安維護組,保安警力,662,2,195,859
114,9,治安維護組,交通助理,484,0,186,670
114,9,治安維護組,社區巡守,476,2,168,646
114,9,治安維護組,矯正機關勤務,570,3,229,802
114,9,治安維護組,收容處所警衛,160,0,62,222
114,9,治安維護組,安全維護,925,2,288,1215
114,9,防災救護組,社會役,3496,4,961,4461
114,9,治安維護組,環境保育,205,1,108,314
114,9,治安維護組,水利維護,251,0,113,364
114,9,防災救護組,醫療役,132,0,125,257
114,9,防災救護組,教育服務役,1400,2,764,2166
114,9,防災救護組,農業服務役,160,0,68,228
114,9,治安維護組,文化服務役,342,1,153,496
114,9,治安維護組,司法行政役,1036,0,400,1436
114,9,治安維護組,土地測量役,48,0,28,76
114,9,治安維護組,外交役,114,1,47,162
114,9,治安維護組,經濟安全役,58,0,26,84
114,9,治安維護組,觀光服務役,188,1,99,288
114,9,治安維護組,公共行政役,3330,161,1419,4910
114,9,治安維護組,體育役,37,0,67,104
114,9,防災救護組,研發替代役,2132,0,663,2795
114,9,防災救護組,產業訓儲替代役,30,0,14,44
114,9,治安維護組,民防役,537,1,17,555
114,9,治安維護組,資訊役,6,0,0,6
114,9,治安維護組,已訓警察人員,0,462,366,828
114,9,治安維護組,其他,3,0,0,3
114,10,防災救護組,消防役,2789,3,820,3612
114,10,治安維護組,保安警力,660,2,196,858
114,10,治安維護組,交通助理,484,0,192,676
114,10,治安維護組,社區巡守,475,2,169,646
114,10,治安維護組,矯正機關勤務,570,3,227,800
114,10,治安維護組,收容處所警衛,160,0,63,223
114,10,治安維護組,安全維護,920,2,288,1210
114,10,防災救護組,社會役,3514,5,975,4494
114,10,治安維護組,環境保育,204,1,111,316
114,10,治安維護組,水利維護,250,0,113,363
114,10,防災救護組,醫療役,132,0,125,257
114,10,防災救護組,教育服務役,1397,2,769,2168
114,10,防災救護組,農業服務役,160,0,68,228
114,10,治安維護組,文化服務役,342,1,153,496
114,10,治安維護組,司法行政役,1036,0,405,1441
114,10,治安維護組,土地測量役,48,0,28,76
114,10,治安維護組,外交役,112,1,47,160
114,10,治安維護組,經濟安全役,58,0,26,84
114,10,治安維護組,觀光服務役,188,1,99,288
114,10,治安維護組,公共行政役,3323,161,1423,4907
114,10,治安維護組,體育役,37,0,67,104
114,10,防災救護組,研發替代役,2124,0,674,2798
114,10,防災救護組,產業訓儲替代役,30,0,14,44
114,10,治安維護組,民防役,537,1,19,557
114,10,治安維護組,資訊役,6,0,0,6
114,10,治安維護組,已訓警察人員,0,460,369,829
114,10,治安維護組,其他,0,0,0,0
114,11,防災救護組,消防役,2791,3,827,3621
114,11,治安維護組,保安警力,658,2,197,857
114,11,治安維護組,交通助理,481,0,192,673
114,11,治安維護組,社區巡守,470,2,169,641
114,11,治安維護組,矯正機關勤務,568,3,228,799
114,11,治安維護組,收容處所警衛,160,0,63,223
114,11,治安維護組,安全維護,916,2,293,1211
114,11,防災救護組,社會役,3515,4,985,4504
114,11,治安維護組,環境保育,203,1,112,316
114,11,治安維護組,水利維護,250,0,113,363
114,11,防災救護組,醫療役,130,0,128,258
114,11,防災救護組,教育服務役,1393,2,772,2167
114,11,防災救護組,農業服務役,160,0,69,229
114,11,治安維護組,文化服務役,342,1,153,496
114,11,治安維護組,司法行政役,1033,0,404,1437
114,11,治安維護組,土地測量役,48,0,29,77
114,11,治安維護組,外交役,110,1,49,160
114,11,治安維護組,經濟安全役,57,0,26,83
114,11,治安維護組,觀光服務役,188,1,101,290
114,11,治安維護組,公共行政役,3318,158,1424,4900
114,11,治安維護組,體育役,37,0,68,105
