序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
976,53353122,公司,咖碼股份有限公司,臺北市大安區仁愛路4段151巷23號,115/11/22,121.551855,25.039352
977,90898337,公司,合耘國際貿易有限公司,臺北市士林區後港街167號1樓,115/11/23,121.521246,25.087385
978,52890617,公司,京致有限公司 ,臺北市南港區重陽路449號,115/11/23,121.610111,25.059439
979,43753253,公司,共享平台股份有限公司,臺北市松山區南京東路四段195號全棟,115/11/24,121.556841,25.05176
980,53085230,公司,梅門德藝文創股份有限公司,臺北市中正區延平南路87號地下1樓,115/11/25,121.510799,25.043296
981,96945765,公司,管家婆科技股份有限公司,臺北市中正區思源街16號,115/11/25,121.530574,25.014308
982,53763625,公司,璞園餐飲事業有限公司,臺北市士林區基河路130號B1及B3,115/11/25,121.522789,25.089144
983,95477335,公司,鉐撈企業有限公司,臺北市中山區松江路95之1號3樓,115/11/26,121.533212,25.050913
984,80504123,公司,璽樂國際開發股份有限公司,臺北市大安區樂利路11巷30號,115/11/27,121.552401,25.028258
985,13104078,公司,瑞樂國際開發股份有限公司,臺北市大安區樂利路11巷32號,115/11/27,121.55252,25.028258
986,60511781,公司,煦曜生活有限公司,臺北市大安區忠孝東路4段101巷15號B1,115/11/27,121.54821,25.042386
987,50751836,公司,全創適能有限公司,臺北市中山區中山北路一段33巷25號1樓,115/11/28,121.523028,25.048565
988,82799741,公司,橡體有限公司,臺北市中山區中山北路一段33巷25號2樓,115/11/28,121.523028,25.048565
989,53774926,公司,龍真好海鮮餐廳有限公司,臺北市中山區吉林路45號地下層,115/11/28,121.530205,25.051409
990,43863511,公司,牧山丘有限公司,臺北市大同區迪化街1段173號,115/11/28,121.509624,25.058764
991,55668225,公司,島輝實業有限公司,臺北市大同區寧夏路49號,115/11/28,121.515564,25.057373
992,43904034,公司,韓禾豐企業有限公司,臺北市士林區中山北路5段437號,115/11/28,121.527212,25.091114
993,13120491,公司,亞力昇國際實業有限公司,臺北市大同區南京西路269號,115/11/29,121.509496,25.053426
994,84011831,公司,名將有限公司,臺北市大安區安和路二段167號1樓,115/11/29,121.550165,25.028251
995,55847261,公司,旺與財國際有限公司,臺北市中山區錦州街32號2樓及2樓之1,115/11/30,121.524912,25.06022
996,23309178,公司,台鋼漢堡王股份有限公司,臺北市松山區南京東路五段82號,115/11/30,121.561324,25.051265
997,23309178,公司,台鋼漢堡王股份有限公司,臺北市中山區長春路176號 ,115/11/30,121.534114,25.054684
998,23309178,公司,台鋼漢堡王股份有限公司,臺北市士林區中正路332號,115/11/30,121.522285,25.094664
999,23309178,公司,台鋼漢堡王股份有限公司,臺北市松山區八德路2段449號,115/11/30,121.547323,25.048307
1000,23309178,公司,台鋼漢堡王股份有限公司,臺北市中正區八德路一段31號,115/11/30,121.531429,25.044125
1001,23309178,公司,台鋼漢堡王股份有限公司,臺北市文山區木新路3段109號,115/11/30,121.562468,24.982002
1002,23309178,公司,台鋼漢堡王股份有限公司,臺北市松山區市民大道6段133號1樓,115/11/30,121.578954,25.049603
1003,23309178,公司,台鋼漢堡王股份有限公司,臺北市內湖區成功路4段178號1樓,115/11/30,121.593582,25.083355
1004,23309178,公司,台鋼漢堡王股份有限公司,臺北市北投區光明路146之4號,115/11/30,121.502517,25.134547
1005,16794266,公司,食昌企業股份有限公司,臺北市信義區松壽路9號7樓,115/11/30,121.566661,25.036082
1006,23999482,公司,吉線餐廳有限公司,臺北市中山區林森北路107巷30號1樓,115/12/01,121.526028,25.050001
1007,28449085,公司,潤泰旭展股份有限公司,臺北市南港區忠孝東路七段369號1至10樓,115/12/01,121.607208,25.052669
