個案名稱,資產類別,資產種類,所屬主管機關,機關代碼,所在地理區域,縣市別代碼
國立臺灣大學日式宿舍─馬廷英故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍─翁通楹寓所,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
艋舺助順將軍廟（晉德宮）,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
新富市場,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市萬華區,63000
艋舺清水巖,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
艋舺青山宮,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
學海書院（今高氏宗祠）,直轄市定古蹟,書院,臺北市政府,379000000A,臺北市萬華區,63000
艋舺地藏庵,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
西門紅樓（原新起街市場）,直轄市定古蹟,"市場,其他設施",臺北市政府,379000000A,臺北市萬華區,63000
慈雲寺,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市萬華區,63000
艋舺謝宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市萬華區,63000
老松國小,直轄市定古蹟,"學校,其他設施",臺北市政府,379000000A,臺北市萬華區,63000
原臺灣製糖株式會社臺北製糖所倉庫,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市萬華區,63000
艋舺洪氏祖厝,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市萬華區,63000
西本願寺（鐘樓、樹心會館）,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市萬華區,63000
臺北機廠,國定古蹟,產業,文化部,A25000000E,臺北市信義區,63000
白榕蔭堂墓園(白崇禧將軍墓),直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市信義區,63000
松山菸廠,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市信義區,63000
摩耶精舍（張大千園邸）,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市士林區,63000
閻錫山墓,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市士林區,63000
潘宮籌墓,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市,63000
蔣中正宋美齡士林官邸,國定古蹟,衙署,文化部,A25000000E,臺北市士林區,63000
天母白屋(美軍宿舍),直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市士林區,63000
士林潘宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市士林區,63000
閻錫山故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市士林區,63000
士林慈諴宮,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市士林區,63000
芝山岩惠濟宮,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市士林區,63000
芝山岩隘門,直轄市定古蹟,關塞,臺北市政府,379000000A,臺北市士林區,63000
士林公有市場,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市士林區,63000
草山御賓館,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市士林區,63000
張羣故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市士林區,63000
王寵惠墓園,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市士林區,63000
前日軍衛戍醫院北投分院,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投文物館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投不動明王石窟,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投公共浴場,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
吟松閣,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
周氏節孝坊,直轄市定古蹟,牌坊,臺北市政府,379000000A,臺北市北投區,63000
長老教會北投教堂,直轄市定古蹟,教堂,臺北市政府,379000000A,臺北市北投區,63000
北投普濟寺,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市北投區,63000
北投臺灣銀行舊宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市北投區,63000
草山教師研習中心,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
草山水道系統,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
陽明山中山樓,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市北投區,63000
北投穀倉,直轄市定古蹟,"產業,其他設施",臺北市政府,379000000A,臺北市北投區,63000
林秀俊墓,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市內湖區,63000
內湖庄役場會議室,直轄市定古蹟,辦公廳舍,臺北市政府,379000000A,臺北市內湖區,63000
內湖郭氏古宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市內湖區,63000
內湖清代採石場,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市內湖區,63000
王義德墓,直轄市定古蹟,墓葬,臺北市政府,379000000A,臺北市南港區,63000
興福庄建塚記念碑,直轄市定古蹟,碑碣,臺北市政府,379000000A,臺北市文山區,63000
景美集應廟,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市文山區,63000
臺北植物園腊葉館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
朝北醫院,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市萬華區,63000
士林神農宮(芝蘭廟),直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市士林區,63000
臺灣民主紀念園區,國定古蹟,其他設施,文化部,A25000000E,臺北市中正區,63000
臺灣總督府交通局鐵道部(廳舍、八角樓男廁、戰時指揮中心、工務室、電源室、食堂),國定古蹟,產業,文化部,A25000000E,臺北市大同區,63000
南港臺電倉庫,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市南港區,63000
立法院(原臺北州立第二高等女學校),直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市中正區,63000
原八芝蘭公學校講堂,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市士林區,63000
三井物產株式會社舊倉庫,歷史建築,產業,臺北市政府,379000000A,臺北市中正區,63000
原辰馬商會本町店鋪,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
峰圃茶莊,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立中央圖書館舊址,歷史建築,衙署,臺北市政府,379000000A,臺北市中正區,63000
原警察局中正二分局(牯嶺街小劇場),歷史建築,衙署,臺北市政府,379000000A,臺北市中正區,63000
龍口町「塵芥燒却場」,歷史建築,產業,臺北市政府,379000000A,臺北市中正區,63000
第一外科診所,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
延平南路45號,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
汀州路台鐵舊宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷2號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷4號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷6號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷8號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷9號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷10號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街53巷13號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
濟南路二段25號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
濟南路二段27號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
金山南路1段30巷12號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
國父史蹟館,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
原樟腦精製工廠,歷史建築,產業,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣藝術教育館,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣大學日式宿舍－銅山街4號,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣大學日式宿舍－方東美寓所,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
臺鐵舊宿舍─臨沂街63巷19號,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立歷史博物館,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
海軍將官官舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
幸町日式宿舍－臨沂街27巷1號,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
杭州南路一段75號日式宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
孫運璿濟南路寓所,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立教育廣播電台,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
獻堂館,歷史建築,其他設施,臺北市政府,379000000A,臺北市中正區,63000
蒲添生故居,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
明星咖啡館,歷史建築,宅第,臺北市政府,379000000A,臺北市中正區,63000
原周進春茶行（部分）,歷史建築,產業,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段248號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段308號店屋（明善堂）,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段96號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路二段56、58號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
鐵路局北淡線（圓山站）宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
蔡合源宅第,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
有記茶行,歷史建築,產業,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段192號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
太平町店屋-延平北路2段27號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
太平町店屋-延平北路2段25號,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
十字軒糕餅舖,歷史建築,"產業,宅第",臺北市政府,379000000A,臺北市大同區,63000
清代機器局第一號工場遺構,歷史建築,產業,臺北市政府,379000000A,臺北市大同區,63000
保安街84號順天外科醫院,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段207號店屋(原廣和堂藥舖),歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段186號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段13號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
南京西路237號暨迪化街1段2、4、6號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段202號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
泰興漆行,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
安西街周宅,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段198號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
六館街尾洋式店屋（南京西路241、243、245、247、 249、251號）,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段278號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段200號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段274號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路1段149及151號店屋（太和堂藥房）,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
張協成石廠,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
波麗路餐廳,歷史建築,商店,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段67號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段156號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
大龍國小,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
鐵路局局長宿舍,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段79號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段85號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段174號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段178號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段181號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段183號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
原專賣局臺北菸草工廠倉庫,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
大千百貨,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
涼州街108號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
太平町店屋--延平北路2段79號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
黑美人大酒家,歷史建築,其他設施,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段155號,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段142號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段235、237號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街1段17號及南京西路233巷16號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路2段171號店屋（廬山軒）,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路2段241號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
延平北路2段54號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
迪化街一段90號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
民樂街4、6、8號、永昌街1號暨民生西路362巷33號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
西寧北路65、67號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
日新國民小學（原日新公學校）紅樓,歷史建築,書院,臺北市政府,379000000A,臺北市大同區,63000
南京西路255號店屋,歷史建築,宅第,臺北市政府,379000000A,臺北市大同區,63000
