序號,許可證號,當舖名稱,營業地址,縣市
156,10700115-2,泰來,臺北市大安區市民大道3段138號號1樓,臺北市
157,11100116-1,元大,臺北市大同區重慶北路3段180號1樓,臺北市
158,10500158-3,大榮,臺北市松山區東興路27號1樓,臺北市
159,10400230-8,元一,臺北市信義區松山路304號1樓,臺北市
160,10700117-5,滿億,臺北市文山區羅斯福路6段113號1樓,臺北市
161,10000118-1,瑞成,臺北市萬華區桂林路154號1樓,臺北市
162,10100159-3,八德,臺北市南港區南港路3段336號1樓,臺北市
163,11000119-4,華邦,臺北市大安區市民大道3段226號號1樓,臺北市
164,10700114-5,日春,臺北市北投區文林北路72號1樓,臺北市
165,9100120,東樺,臺北市大同區延平北路2段113號1樓,臺北市
166,9100121,世界,臺北市信義區吳興街105號1樓,臺北市
167,9100122,正泰,臺北市大安區延吉街60號1樓,臺北市
168,10800123-2,寶來,臺北市信義區永吉路432號1樓,臺北市
169,9100124,旭成,臺北市中山區林森北路399巷20號1樓,臺北市
170,10600125-6,興昇,臺北市中山區新生北路2段119巷2號１樓,臺北市
171,10900126-3,利名,臺北市大同區重慶北路2段148號1樓,臺北市
172,9100127,同裕,臺北市中山區松江路204巷3號1樓,臺北市
173,10400272-6,嘉誠,臺北市中山區民權東路1段68號1樓,臺北市
174,9100128,石牌,臺北市北投區石牌路2段75巷10號1樓,臺北市
175,9100160,廣泰,臺北市北投區致遠一路1段123號1樓,臺北市
176,10600129-1,大千,臺北市中山區吉林路121號之3,臺北市
177,10500130-3,聯和,臺北市大同區重慶北路3段125號1樓,臺北市
178,9100132,台北,臺北市大同區酒泉街114號1樓,臺北市
179,10500133-3,聯大,臺北市文山區羅斯福路5段206-2號1樓,臺北市
180,11100134-4,千葉,臺北市士林區延平北路6段376號1樓  ,臺北市
181,9700136-2,德泰,臺北市中山區德惠街44號1樓,臺北市
182,9600137-4,立昇,臺北市北投區大業路282號1樓,臺北市
183,11000138-7,摩根精品,臺北市信義區松隆路324號1樓,臺北市
184,11100187-7,鼎富,臺北市中山區市民大道3段39號1樓,臺北市
185,10400140-3,士久,臺北市萬華區漢口街2段111號1樓,臺北市
186,10300079-6,尚豪,臺北市萬華區西藏路253號１樓 ,臺北市
187,9600162-5,資通,臺北市大同區重慶北路3段33-1號1樓,臺北市
188,9700252-3,飛馬,臺北市士林區重慶北路4段157號1樓  ,臺北市
189,1060163-2,華信,臺北市大同區承德路3段192號1樓,臺北市
190,9100164-1,中美,臺北市大同區民生西路180號1樓,臺北市
191,11100165-2,鑫源,臺北市大安區和平東路2段16號1樓,臺北市
192,10700016-5,全勝,臺北市中山區民族東路146號1樓,臺北市
193,10300135-4,金典,臺北市中山區松江路3-1號1樓,臺北市
194,10400231-1(補),順隆,臺北市大安區復興南路2段167號1樓,臺北市
195,10700167-4,海利行,臺北市大安區建國南路2段189號1樓,臺北市
196,11000168-3,優良,臺北市大同區重慶北路2段184-1號1樓,臺北市
197,9100220,第一,臺北市大安區延吉街140號1樓,臺北市
198,11000005-4 ,朝陽,臺北市松山區復興北路465號１樓,臺北市
199,10300249-1,城市,臺北市中山區復興北路184號1樓,臺北市
200,10400169-8,日昇昌,臺北市士林區重慶北路4段243號1樓,臺北市
201,10700170-4,立揚,臺北市信義區永吉路205號1樓,臺北市
202,10000171-2,潤泰,臺北市中山區吉林路473號1樓,臺北市
203,9500172-3,源通,臺北市萬華區桂林路2之1號1樓,臺北市
204,9300173-1,宏典,臺北市萬華區和平西路3段296號1樓,臺北市
205,11100174-3,南亞,臺北市南港區南港路2段322號1樓,臺北市
206,11100175-7,三川,臺北市萬華區和平西路3段232號1樓,臺北市
207,10800176-1,慎明,臺北市內湖區文德路248號1樓,臺北市
208,11100177-4,星光,臺北市士林區中正路427號,臺北市
209,10400236-7,宗信,臺北市大同區承德路2段49號1樓,臺北市
210,9700161-3（補）,利隆,臺北市大安區和平東路3段390號1樓,臺北市
211,11100179-7,星河,臺北市大同區民權西路89號1樓,臺北市
212,1100268-1,大展,臺北市大同區重慶北路3段336號1樓,臺北市
213,10800180-6,花旗,臺北市中山區建國北路3段103號1樓,臺北市
214,11000181-2,長 榮,臺北市內湖區成功路2段167號1樓,臺北市
215,10100033-3,國光,臺北市松山區民權東路3段109號1樓,臺北市
216,10400089-2,華南,臺北市松山區南京東路5段53號1樓12號之1,臺北市
217,10200183-2,泰安,臺北市信義區忠孝東路5段737號1樓,臺北市
218,10800266-3,台鑫,臺北市中山區吉林路292號1樓,臺北市
219,10100244-9,華德,臺北市萬華區中華路2段4-1號１樓,臺北市
220,10900270-5,富華,臺北市大同區重慶北路2段129號1樓,臺北市
221,10600184-2,永金,臺北市大同區承德路2段225號1樓,臺北市
222,10300241-4,百亨,臺北市信義區松隆路16號1樓,臺北市
223,9100185,永豐,臺北市大同區延平北路2段123號1樓,臺北市
224,9700186-1,金玉成,臺北市南港區八德路4段905號1樓,臺北市
225,11100253-13,大和,臺北市大同區涼州街42號1樓,臺北市
226,9100143,利昌,臺北市松山區光復北路85巷17號1樓,臺北市
227,10900188-3,錢水,臺北市中正區三元街160號1樓,臺北市
228,11000256-7,美麗華,臺北市中山區長安東路2段2號1樓,臺北市
229,11100189-10,摩爾精品,臺北市大安區仁愛路4段222巷11號1樓,臺北市
230,10900190-8,南山,臺北市士林區重慶北路4段59號1樓,臺北市
231,10900191-3,合庫,臺北市南港區忠孝東路6段112號1樓,臺北市
232,9800192-5,洪大,臺北市中山區長春路72號1樓,臺北市
233,10700193-12,寶華,臺北市士林區中正路632號１樓,臺北市
234,10600139-6,民族,臺北市中山區民族東路38號１樓,臺北市
235,10300250-5,新光,臺北市信義區忠孝東路5段770號1樓,臺北市
236,10700194-1,名星,臺北市大同區承德路3段302號1樓,臺北市
237,10100052-6,西北,臺北市松山區光復北路105號1樓,臺北市
238,11000059-7,富比士,臺北市松山區南京東路5段296號1樓,臺北市
239,9600198-6,保德信,臺北市中山區復興北路512號1樓,臺北市
240,9500199-1,永隆,臺北市大同區延平北路2段192號1樓,臺北市
241,10800200-6,全方位,臺北市大同區重慶北路3段131號1樓,臺北市
242,1050019676,永鑫,臺北市萬華區和平西路3段80號1樓,臺北市
243,10600201-6,禾豐,臺北市萬華區和平西路3段187號1樓,臺北市
244,10300202-2,太新,臺北市萬華區和平西路3段155號1樓,臺北市
245,10900204-1,瑞泰,臺北市大同區重慶北路3段58號1樓,臺北市
246,10000205-2,公館,臺北文山區市羅斯福路5段136-1號1樓,臺北市
247,9600206-2,大倫,臺北市萬華區桂林路155號1樓,臺北市
248,10500207-5,億昇,臺北市萬華區貴陽街2段70號1樓,臺北市
249,10800242-8,和億,臺北市信義區永吉路267號1樓,臺北市
250,9100208,萬元,臺北市大同區重慶北路1段94號1樓,臺北市
251,10800209-3,大同,臺北市信義區忠孝東路5段791號1樓,臺北市
252,11100210-8,天水,臺北市大同區天水路7號1樓,臺北市
253,9400211-1,立順,臺北市大同區延平北路3段116號之1 1樓,臺北市
254,9900212-7,星展,臺北市中山區長安東路2段238號1樓,臺北市
255,9800213-1,光華,臺北市大同區承德路3段145號1樓,臺北市
256,10300214-4,義大,臺北市大安區八德路2段10巷47號1樓,臺北市
257,281,北泰,臺北市南港區八德路4段929號1樓,臺北市
258,10000215-3,高新,臺北市大同區承德路２段179號1樓,臺北市
259,11100234-4,京華,臺北市中山區八德路2段69號1樓,臺北市
260,11000216-3,中華,臺北市中山區松江路524號1樓,臺北市
261,10700217-3,松德,臺北市信義區松德路19號1樓,臺北市
262,0300218-1,鴻運,臺北市南港區忠孝東路6段28號1樓,臺北市
263,10100131-3,阜康,臺北市中正區西藏路31號1樓,臺北市
264,11000018-4,玉山,臺北市松山區八德路4段276號1樓,臺北市
265,103北市動002-3,大安分處,臺北市大安區瑞安街73號3樓,臺北市
266,111003-10,古亭分處,臺北市中正區和平西路1段59號B1,臺北市
267,108北市動004-11,雙園分處,臺北市萬華區萬大路225號1樓,臺北市
268,109北市動005-11,龍山分處,臺北市萬華區和平西路3段120號5樓之1,臺北市
269,107北市動011-7,士林分處,臺北市士林區中正路439號1樓,臺北市
270,007-1,延平分處,臺北市大同區迪化街1段21號5樓,臺北市
271,110北市動008-10,大同分處,臺北市大同區昌吉街57號5樓之1,臺北市
272,110北市動009-13,中山分處,臺北市中山區長安西路3號6樓,臺北市
273,103北市動012-5,北投分處,臺北市北投區大業路697號1樓,臺北市
274,006-1,南港分處,臺北市南港區東興街1號1樓,臺北市
275,10900031-6,興華,臺北市萬華區和平西路3段349號1樓,臺北市
276,11100238-4,和潤,臺北市中山區民權東路2段3號1樓,臺北市
277,9900253-3,陽信,臺北市重慶北路2段31號1樓,臺北市
278,10700261-3,台灣,臺北市中正區和平西路2段17-4號1樓,臺北市
279,11100145-7,冠昌,臺北市中山區長春路243號1樓,臺北市
280,10400029-4,丙全,臺北市萬華區西藏路172號1樓,臺北市
281,9100030,合信,臺北市萬華區西藏路250號1樓,臺北市
282,9600147-2,來旺,臺北市萬華區萬大路510號1樓,臺北市
283,9800273-6,宏元,臺北市大同區民族西路168號1樓,臺北市
284,11000027-1,茂順,臺北市中山區錦州街7號1樓,臺北市
285,10500146-4,佰益,臺北市中山區民族東路226號１樓,臺北市
286,10300286-1,?豐,臺北市中山區民生東路1段72號1樓,臺北市
287,10900287-2,錢興,臺北市中正區西藏路20號1樓,臺北市
