案件類別,上級機關,案件權責機關,案件編號,案件排序,案件名稱,承辦單位,申辦方式,新增日期,更新日期,URL
民政類,民政局,民政局,AC028,0,申請訂定臺北市巷弄及廣場別名,民政局,線上填表,20240809T150700,20250723T162100,https://service.taipei/case-detail/AC028
民政類,民政局,民政局,AC029,0,印鑑登記、變更及廢止,民政局,網路預約,20240809T151100,20250723T162300,https://service.taipei/case-detail/AC029
民政類,民政局,民政局,AC030,0,印鑑證明,民政局,網路預約,20240809T152200,20250723T162400,https://service.taipei/case-detail/AC030
民政類,民政局,民政局,AC031,0,請領（初、補、換）國民身分證,民政局,網路預約,20240809T152300,20250723T162600,https://service.taipei/case-detail/AC031
民政類,民政局,民政局,AC032,0,請領戶口名簿,民政局,網路預約,20240809T152300,20250724T164000,https://service.taipei/case-detail/AC032
民政類,民政局,民政局,AC033,0,戶籍謄本及戶籍檔案原始資料,民政局,網路預約,20240809T152400,20250724T170700,https://service.taipei/case-detail/AC033
民政類,民政局,民政局,AC034,0,英文戶籍謄本,民政局,網路預約,20240809T152500,20250723T163100,https://service.taipei/case-detail/AC034
民政類,民政局,民政局,AC035,0,戶籍登記簿閱覽,民政局,網路預約,20240809T152600,20250730T153400,https://service.taipei/case-detail/AC035
民政類,民政局,民政局,AC036,0,親等關聯資料,民政局,網路預約,20240809T152800,20250723T163600,https://service.taipei/case-detail/AC036
民政類,民政局,民政局,AC037,0,自然人憑證,民政局,網路預約,20240809T152900,20250724T163800,https://service.taipei/case-detail/AC037
民政類,民政局,民政局,AC038,0,首次申請護照人別確認、一站式服務,民政局,網路預約,20240809T153000,20250723T164000,https://service.taipei/case-detail/AC038
民政類,民政局,民政局,AC039,0,林安泰古厝民俗文物館預約導覽,民政局,全程式,20250212T182700,20251226T150200,https://service.taipei/case-detail/AC039
民政類,民政局,民政局,AC040,0,宗教團體以自然人名義登記不動產權利歸屬審認,民政局,非全程式,20250212T183500,20251226T152500,https://service.taipei/case-detail/AC040
民政類,民政局,民政局,AC041,0,中、英文結離婚證明書,民政局,網路預約,20250718T151100,20250730T153300,https://service.taipei/case-detail/AC041
財政類,財政局,財政局,AD001,0,臺北市金融服務業財團法人設立許可,財政局,非全程式,20240809T153200,20251111T144900,https://service.taipei/case-detail/AD001
財政類,財政局,財政局,AD002,0,臺北市酒精販賣業者申請登記案,財政局,非全程式,20240809T153300,20260102T113400,https://service.taipei/case-detail/AD002
財政類,財政局,財政局,AD003,0,申購市有畸零土地,財政局,非全程式,20240809T153400,20260102T140300,https://service.taipei/case-detail/AD003
財政類,財政局,財政局,AD004,0,申購租(占)用市有土地,財政局,全程式,20240809T153400,20250718T110600,https://service.taipei/case-detail/AD004
財政類,財政局,財政局,AD005,0,申購遷建基地,財政局,全程式,20240809T153500,20250718T110800,https://service.taipei/case-detail/AD005
財政類,財政局,財政局,AD006,0,申購整建住宅基地,財政局,非全程式,20240809T153600,20250722T111300,https://service.taipei/case-detail/AD006
財政類,財政局,財政局,AD007,0,申請核發產權移轉證明書,財政局,非全程式,20240809T153700,20250722T112100,https://service.taipei/case-detail/AD007
財政類,財政局,財政局,AD008,0,申請租賃市有土地,財政局,非全程式,20240809T153800,20251118T134400,https://service.taipei/case-detail/AD008
財政類,財政局,財政局,AD009,0,續租市有土地,財政局,非全程式,20240809T153900,20260102T141600,https://service.taipei/case-detail/AD009
財政類,財政局,財政局,AD010,0,過戶承租市有土地,財政局,非全程式,20240809T154000,20251118T134900,https://service.taipei/case-detail/AD010
財政類,財政局,財政局,AD011,0,繼承過戶承租市有土地,財政局,非全程式,20240809T154200,20251118T135000,https://service.taipei/case-detail/AD011
財政類,財政局,財政局,AD012,0,設籍自住申請租金優惠計收,財政局,全程式,20240809T154600,20251118T143000,https://service.taipei/case-detail/AD012
財政類,財政局,財政局,AD013,0,申請分期繳納積欠之使用補償金,財政局,非全程式,20240809T154700,20251118T140000,https://service.taipei/case-detail/AD013
財政類,財政局,財政局,AD015,0,申請使用補償金優惠計收,財政局,全程式,20240809T155000,20251118T140100,https://service.taipei/case-detail/AD015
財政類,財政局,財政局,AD017,0,申請使用市有非公用不動產,財政局,全程式,20240809T155500,20260204T121800,https://service.taipei/case-detail/AD017
財政類,財政局,財政局,AD018,0,申請捐贈不動產,財政局,非全程式,20240809T155600,20251118T140100,https://service.taipei/case-detail/AD018
財政類,財政局,財政局,AD019,0,補發市庫支票,財政局,非全程式,20240809T155700,20251117T165600,https://service.taipei/case-detail/AD019
財政類,財政局,財政局,AD020,0,換發市庫支票,財政局,非全程式,20240809T155900,20251114T151800,https://service.taipei/case-detail/AD020
財政類,財政局,財政局,AD021,0,更正市庫支票,財政局,非全程式,20240809T160000,20251113T152500,https://service.taipei/case-detail/AD021
財政類,財政局,財政局,AD022,0,抵繳遺產稅登記用印申請,財政局,,20240809T160000,20250401T153300,https://service.taipei/case-detail/AD022
財政類,財政局,財政局,AD023,0,申請認養綠美化,財政局,非全程式,20240809T160100,20251113T175900,https://service.taipei/case-detail/AD023
財政類,財政局,財政局,AD024,0,續辦分期繳納使用補償金,財政局,非全程式,20250213T162200,20251118T140200,https://service.taipei/case-detail/AD024
教育類,教育局,教育局,AE001,0,教育部補助地方政府發放二歲以上未滿五歲幼兒育兒津貼及五歲至入國民小學前幼兒就學補助,教育局,非全程式,20240812T111700,20251229T145700,https://service.taipei/case-detail/AE001
教育類,教育局,教育局,AE002,0,就讀外縣市立案私立幼兒園幼兒申請「助您好孕－5歲幼兒就學費用」補助,教育局,線上填表,20240812T111800,20260320T134500,https://service.taipei/case-detail/AE002
教育類,教育局,教育局,AE003,0,私立幼兒園申請設立(含分班),教育局,線上填表,20240812T111800,20251226T180800,https://service.taipei/case-detail/AE003
教育類,教育局,教育局,AE004,0,私立幼兒園申請負責人、設立性質或名稱變更,教育局,線上填表,20240812T111900,20260106T103500,https://service.taipei/case-detail/AE004
教育類,教育局,教育局,AE006,0,財團法人教育基金會設立案,教育局,線上填表,20240812T112100,20250730T150700,https://service.taipei/case-detail/AE006
教育類,教育局,教育局,AE007,0,短期補習班申請籌設,教育局,線上填表,20240812T112200,20250908T110200,https://service.taipei/case-detail/AE007
教育類,教育局,教育局,AE008,0,短期補習班增設班舍,教育局,線上填表,20240812T112400,20251223T191800,https://service.taipei/case-detail/AE008
教育類,教育局,教育局,AE009,0,短期補習班申請遷址,教育局,線上填表,20240812T112400,20251223T192200,https://service.taipei/case-detail/AE009
教育類,教育局,教育局,AE010,0,大陸地區高級中等以下學校學歷驗證(換發同等學力證明),教育局,線上填表,20240812T112500,20251013T145900,https://service.taipei/case-detail/AE010
教育類,教育局,教育局,AE011,0,臺北市私立學校申請獎勵補助,教育局,全程式,20240812T112600,20251223T162700,https://service.taipei/case-detail/AE011
教育類,教育局,教育局,AE012,0,臺北市公立幼兒園招生登記申請,教育局,全程式,20240812T112700,20251226T160700,https://service.taipei/case-detail/AE012
教育類,教育局,教育局,AE013,0,私立幼兒園申請改建、擴充、縮減場地、遷移,教育局,線上填表,20240812T112700,20251226T181700,https://service.taipei/case-detail/AE013
教育類,教育局,教育局,AE014,0,私立幼兒園申請增加招收人數,教育局,線上填表,20240812T112800,20251226T182400,https://service.taipei/case-detail/AE014
教育類,教育局,教育局,AE015,0,私立幼兒園申請自請停辦與歇業,教育局,線上填表,20240812T112900,20251229T115400,https://service.taipei/case-detail/AE015
教育類,教育局,教育局,AE016,0,私立幼兒園申請恢復招生與復辦,教育局,線上填表,20240812T113100,20251229T120100,https://service.taipei/case-detail/AE016
教育類,教育局,教育局,AE017,0,臺北市教師證書遺失補發及更名申請,教育局,非全程式,20240812T113200,20251226T160400,https://service.taipei/case-detail/AE017
教育類,教育局,教育局,AE018,0,短期補習班申請立案,教育局,線上填表,20240812T113300,20251223T170600,https://service.taipei/case-detail/AE018
教育類,教育局,教育局,AE019,0,兒童課後照顧服務中心申請設立,教育局,線上填表,20240812T113300,20251125T112800,https://service.taipei/case-detail/AE019
教育類,教育局,教育局,AE020,0,私立國小申請辦理兒童課後照顧服務班,教育局,非全程式,20240812T113400,20251229T134200,https://service.taipei/case-detail/AE020
教育類,教育局,教育局,AE021,0,兒童課後照顧服務中心申請遷址,教育局,線上填表,20240812T113400,20251125T113600,https://service.taipei/case-detail/AE021
教育類,教育局,教育局,AE022,0,兒童課後照顧服務中心申請原址改建、擴充、縮減場地、增減招收人數,教育局,線上填表,20240812T113500,20260102T103500,https://service.taipei/case-detail/AE022
教育類,教育局,教育局,AE023,0,兒童課後照顧服務中心申請遴聘主任及課後照顧服務人員,教育局,線上填表,20240812T113800,20251229T140100,https://service.taipei/case-detail/AE023
教育類,教育局,教育局,AE024,0,兒童課後照顧服務中心申請停業、歇業或變更設立許可證書應載明事項,教育局,線上填表,20240812T114200,20251229T142800,https://service.taipei/case-detail/AE024
教育類,教育局,教育局,AE025,0,臺北市高級中等以下學校校園場地開放使用申請,教育局,非全程式,20240812T114300,20251229T143200,https://service.taipei/case-detail/AE025
教育類,教育局,教育局,AE026,0,臺北市特殊教育學生獎補助,教育局,非全程式,20240812T114400,20251229T143800,https://service.taipei/case-detail/AE026
教育類,教育局,教育局,AE027,0,臺北市學前教育階段身心障礙幼兒申請臨時安置特殊幼兒班,教育局,線上填表,20240812T114500,20251229T144900,https://service.taipei/case-detail/AE027
教育類,教育局,教育局,AE028,0,設籍本市未就讀本市幼兒園之幼兒數位卡證申請,教育局,非全程式,20250730T134200,20260203T101200,https://service.taipei/case-detail/AE028
產業發展類,產業局,產業局,AF001,119,工廠設立許可及展延,產業局,非全程式,20240815T092600,20260318T103700,https://service.taipei/case-detail/AF001
產業發展類,產業局,產業局,AF002,120,(須先取得核准設立許可案號之)工廠登記,產業局,非全程式,20240815T092700,20260318T103800,https://service.taipei/case-detail/AF002
產業發展類,產業局,產業局,AF003,121,工廠登記,產業局,非全程式,20240815T092700,20260318T104000,https://service.taipei/case-detail/AF003
產業發展類,產業局,產業局,AF004,122,工廠變更設立許可或(須先取得核准設立許可案號之)變更登記,產業局,非全程式,20240815T092800,20260318T104100,https://service.taipei/case-detail/AF004
產業發展類,產業局,產業局,AF005,123,工廠變更登記-(1)工廠廠名變更、(2)負責人變更,產業局,非全程式,20240815T092900,20260318T104200,https://service.taipei/case-detail/AF005
產業發展類,產業局,產業局,AF006,126,工廠廢止登記,產業局,非全程式,20240815T093000,20260318T104300,https://service.taipei/case-detail/AF006
產業發展類,產業局,產業局,AF007,127,工廠抄錄、查閱及影印事項,產業局,非全程式,20240815T093000,20260318T104300,https://service.taipei/case-detail/AF007
產業發展類,產業局,產業局,AF008,128,工廠核發登記事項證明,產業局,非全程式,20240815T093200,20260318T104400,https://service.taipei/case-detail/AF008
產業發展類,產業局,產業局,AF009,129,特定工廠登記,產業局,非全程式,20240815T093300,20260318T104500,https://service.taipei/case-detail/AF009
產業發展類,產業局,產業局,AF010,131,特定工廠變更登記-(1)廠名變更、(2)負責或合夥人變_、(3)廠地、廠房或建築物面積減少、(4)使用電_容_、熱能或用水_變_,產業局,非全程式,20240815T093300,20260318T104600,https://service.taipei/case-detail/AF010
產業發展類,產業局,產業局,AF011,134,動產擔保交易登記：(1)各種登記：動產抵押登記、附條件買賣登記、信託占有登記(2)變更登記(3)註銷登記(4)補發登記證明書,產業局,全程式,20240815T093400,20260318T104700,https://service.taipei/case-detail/AF011
產業發展類,產業局,產業局,AF012,137,臺北市工商業財團法人申請設立許可,產業局,非全程式,20240815T093500,20250731T120000,https://service.taipei/case-detail/AF012
產業發展類,產業局,產業局,AF013,139,臺北市工商業財團法人申請變更登記許可-(1)董(監)事變更、(2)捐助章程變更、(3)財產總額變更、(4)主事務所地址變更,產業局,非全程式,20240815T093600,20250731T120100,https://service.taipei/case-detail/AF013
產業發展類,產業局,產業局,AF014,142,臺北市產業發展獎勵補貼申請,產業局,非全程式,20240815T093700,20251226T113300,https://service.taipei/case-detail/AF014
產業發展類,產業局,產業局,AF015,143,臺北市產業發展創新補助申請-研發補助、品牌建立補助、創新育成補助、創業補助,產業局,非全程式,20240815T093700,20251226T133800,https://service.taipei/case-detail/AF015
產業發展類,產業局,產業局,AF016,145,臺北市產業發展獎勵補貼撥款請領,產業局,非全程式,20240815T094100,20250731T120300,https://service.taipei/case-detail/AF016
產業發展類,產業局,產業局,AF017,149,臺北市產業發展創新補助撥款請領-研發補助、品牌建立補助、創新育成補助、創業補助,產業局,非全程式,20240815T094200,20250731T120400,https://service.taipei/case-detail/AF017
產業發展類,產業局,產業局,AF018,152,土石採取許可,產業局,非全程式,20240815T094500,20260312T162800,https://service.taipei/case-detail/AF018
產業發展類,產業局,產業局,AF019,153,「臺北市補助工商團體及廠商推展貿易計畫」受理申請,產業局,非全程式,20240815T094600,20260305T142700,https://service.taipei/case-detail/AF019
產業發展類,產業局,產業局,AF020,154,「臺北市補助工商團體及廠商推展貿易計畫」結案核銷,產業局,非全程式,20240815T094700,20260305T142800,https://service.taipei/case-detail/AF020
產業發展類,產業局,產業局,AF021,156,「臺北市補助工商團體及廠商推展貿易計畫」補助案變更,產業局,非全程式,20240815T094700,20260305T142900,https://service.taipei/case-detail/AF021
產業發展類,產業局,產業局,AF022,0,「臺北市補助新創團隊海外參與創業計畫」申請 ,產業局,,20240815T094800,20250731T121000,https://service.taipei/case-detail/AF022
產業發展類,產業局,產業局,AF023,0,「臺北市補助新創團隊海外參與創業計畫」請款,產業局,,20240815T095000,20250731T121100,https://service.taipei/case-detail/AF023
產業發展類,產業局,產業局,AF024,0,「臺北市補助新創團隊海外參與創業計畫」補助案變更申請,產業局,,20240815T095100,20250731T121300,https://service.taipei/case-detail/AF024
產業發展類,產業局,產業局,AF025,157,「臺北市補助創新創意創業平臺發展計畫」申請,產業局,非全程式,20240815T095200,20260324T113100,https://service.taipei/case-detail/AF025
產業發展類,產業局,產業局,AF026,158,「臺北市補助創新創意創業平臺發展計畫」請款,產業局,非全程式,20240815T095500,20260324T113400,https://service.taipei/case-detail/AF026
產業發展類,產業局,產業局,AF027,159,「臺北市補助創新創意創業平臺發展計畫」變更,產業局,非全程式,20240815T095700,20260302T171800,https://service.taipei/case-detail/AF027
產業發展類,產業局,產業局,AF028,160,「臺北市政府推薦微型創新創意公司申請登錄創櫃板」受理申請,產業局,非全程式,20240815T095800,20250731T121700,https://service.taipei/case-detail/AF028
產業發展類,產業局,產業局,AF029,162,臺北市大內湖科技園區次核心產業回饋金申請-次核心產業認定,產業局,非全程式,20240815T095900,20250801T165000,https://service.taipei/case-detail/AF029
產業發展類,產業局,產業局,AF030,163,營利事業適用生技醫藥公司投資計畫核發完成證明,產業局,非全程式,20240815T101000,20250801T165100,https://service.taipei/case-detail/AF030
產業發展類,產業局,產業局,AF031,164,臺北市企業營運總部關係企業進駐資格證明,產業局,非全程式,20240815T101100,20250812T143600,https://service.taipei/case-detail/AF031
產業發展類,產業局,產業局,AF032,166,臺北市中小企業融資貸款,產業局,全程式,20240815T101200,20251224T104100,https://service.taipei/case-detail/AF032
產業發展類,產業局,產業局,AF033,0,臺北市青年創業融資貸款,產業局,,20240815T103000,20241219T145700,https://service.taipei/case-detail/AF033
產業發展類,產業局,產業局,AF034,167,公用天然氣事業導管配管專業人員變更登記,產業局,非全程式,20240815T103100,20260312T163800,https://service.taipei/case-detail/AF034
產業發展類,產業局,產業局,AF035,168,補助設置太陽光電發電設備受理申請,產業局,全程式,20240815T103200,20250731T124300,https://service.taipei/case-detail/AF035
產業發展類,產業局,產業局,AF036,169,補助設置太陽光電發電設備請領補助款,產業局,非全程式,20240815T103200,20260302T104000,https://service.taipei/case-detail/AF036
產業發展類,產業局,產業局,AF037,173,加油（氣）站申請籌建許可,產業局,非全程式,20240815T103300,20260312T164700,https://service.taipei/case-detail/AF037
產業發展類,產業局,產業局,AF038,174,加油（氣）站同意籌建申請展延期限,產業局,非全程式,20240815T103400,20251120T160200,https://service.taipei/case-detail/AF038
產業發展類,產業局,產業局,AF039,177,籌建中加油（氣）站變更申請,產業局,非全程式,20240815T103500,20260312T165300,https://service.taipei/case-detail/AF039
產業發展類,產業局,產業局,AF041,239,經營中加油（氣）站變更申請-平面配置、經營主體、負責人,產業局,非全程式,20240815T103700,20260312T170400,https://service.taipei/case-detail/AF041
產業發展類,產業局,產業局,AF042,241,地下水用水登記申請-申請水權取得登記、水權移轉登記,產業局,非全程式,20240815T103800,20260313T105500,https://service.taipei/case-detail/AF042
產業發展類,產業局,產業局,AF043,246,電器承裝業設立登記,產業局,非全程式,20240815T103900,20260313T110300,https://service.taipei/case-detail/AF043
產業發展類,產業局,產業局,AF045,247,電器承裝業變更登記-名稱、負責人、地址及門牌整編,產業局,非全程式,20240815T104100,20260313T113700,https://service.taipei/case-detail/AF045
產業發展類,產業局,產業局,AF046,250,電器承裝業廢止登記,產業局,非全程式,20240815T104200,20250801T162000,https://service.taipei/case-detail/AF046
產業發展類,產業局,產業局,AF047,251,公用天然氣導管承裝業設立,產業局,非全程式,20240815T104300,20260313T134200,https://service.taipei/case-detail/AF047
產業發展類,產業局,產業局,AF048,252,公用天然氣導管承裝業變更-資本額、負責人、營業地址、名稱,產業局,非全程式,20240815T104400,20260313T134800,https://service.taipei/case-detail/AF048
產業發展類,產業局,產業局,AF049,255,公用天然氣導管承裝業廢止,產業局,非全程式,20240815T104500,20250801T162000,https://service.taipei/case-detail/AF049
產業發展類,產業局,產業局,AF050,256,自用發電設備設置許可,產業局,非全程式,20240815T104500,20250812T155900,https://service.taipei/case-detail/AF050
產業發展類,產業局,產業局,AF051,257,自用發電設備登記,產業局,非全程式,20240815T104600,20260313T135500,https://service.taipei/case-detail/AF051
產業發展類,產業局,產業局,AF052,258,自用發電設備變更登記,產業局,非全程式,20240815T104700,20260313T140200,https://service.taipei/case-detail/AF052
產業發展類,產業局,產業局,AF053,259,自用發電設備廢止登記,產業局,非全程式,20240815T104700,20250801T162300,https://service.taipei/case-detail/AF053
產業發展類,產業局,產業局,AF054,260,用電場所專任電氣技術人員設立登記,產業局,非全程式,20240815T104900,20260313T140700,https://service.taipei/case-detail/AF054
產業發展類,產業局,產業局,AF055,261,用電場所專任電氣技術人員變更登記-技術人員、名稱、地址及負責人,產業局,非全程式,20240815T105000,20260313T141000,https://service.taipei/case-detail/AF055
產業發展類,產業局,產業局,AF056,264,用電場所專任電氣技術人員廢止登記,產業局,非全程式,20240815T105100,20250801T162500,https://service.taipei/case-detail/AF056
產業發展類,產業局,產業局,AF057,265,用電設備檢驗維護業設立登記,產業局,非全程式,20240815T105200,20260313T141700,https://service.taipei/case-detail/AF057
產業發展類,產業局,產業局,AF058,266,用電設備檢驗維護業變更登記-營業地址、負責人、資本額及電機技師,產業局,非全程式,20240815T105400,20260313T143100,https://service.taipei/case-detail/AF058
產業發展類,產業局,產業局,AF059,267,用電設備檢驗維護業廢止登記,產業局,非全程式,20240815T105500,20250801T162400,https://service.taipei/case-detail/AF059
產業發展類,產業局,產業局,AF060,268,自來水管承裝商籌設許可,產業局,非全程式,20240815T111200,20260313T143600,https://service.taipei/case-detail/AF060
產業發展類,產業局,產業局,AF061,269,自來水管承裝商營業許可,產業局,非全程式,20240815T111700,20260313T144100,https://service.taipei/case-detail/AF061
產業發展類,產業局,產業局,AF062,270,自來水管承裝商變更營業許可-名稱、負責人、資本額、地址,產業局,非全程式,20240815T111800,20260313T145100,https://service.taipei/case-detail/AF062
產業發展類,產業局,產業局,AF063,273,自來水管承裝商廢止營業許可,產業局,非全程式,20240815T111900,20250801T161900,https://service.taipei/case-detail/AF063
產業發展類,產業局,產業局,AF064,274,自用加儲油（氣）設施設置申請,產業局,非全程式,20240815T112000,20260313T145500,https://service.taipei/case-detail/AF064
產業發展類,產業局,產業局,AF065,275,自用加儲油（氣）設施使用申請,產業局,非全程式,20240815T112800,20250812T172000,https://service.taipei/case-detail/AF065
產業發展類,產業局,產業局,AF066,276,自用加儲油（氣）設施使用變更申請,產業局,非全程式,20240815T112800,20250812T172100,https://service.taipei/case-detail/AF066
產業發展類,產業局,產業局,AF067,277,地下水鑿井業籌設許可,產業局,非全程式,20240815T112900,20260313T150000,https://service.taipei/case-detail/AF067
產業發展類,產業局,產業局,AF068,278,地下水鑿井業營業許可,產業局,非全程式,20240815T112900,20260313T150400,https://service.taipei/case-detail/AF068
產業發展類,產業局,產業局,AF069,279,地下水鑿井業變更營業許可-名稱、負責人、資本額、地址,產業局,非全程式,20240815T113100,20260313T150800,https://service.taipei/case-detail/AF069
產業發展類,產業局,產業局,AF070,282,地下水鑿井業廢止營業許可,產業局,非全程式,20240815T113200,20250801T162300,https://service.taipei/case-detail/AF070
產業發展類,產業局,產業局,AF071,283,抽汲地下水水利建造物申請,產業局,非全程式,20240815T113800,20250812T173200,https://service.taipei/case-detail/AF071
產業發展類,產業局,產業局,AF072,284,臺北市服務業汰換節能設備補助-無風管空氣調節機、接風管空氣調節機、照明燈具、室內停車場智慧照明、循環扇、空氣門簾、電冰箱及冷凍櫃申請,產業局,非全程式,20240815T113900,20260224T155600,https://service.taipei/case-detail/AF072
產業發展類,產業局,產業局,AF073,285,臺北市服務業汰換節能設備補助-中央空調系統、冷凍(藏)庫申請,產業局,非全程式,20240815T114000,20260224T160300,https://service.taipei/case-detail/AF073
產業發展類,產業局,產業局,AF074,286,臺北市服務業汰換節能設備補助-中央空調系統、冷凍(藏)庫請領補助款,產業局,非全程式,20240815T114100,20260212T114300,https://service.taipei/case-detail/AF074
產業發展類,產業局,產業局,AF075,287,再生能源發電設備同意備案,產業局,非全程式,20240815T114100,20260317T104300,https://service.taipei/case-detail/AF075
產業發展類,產業局,產業局,AF076,288,再生能源發電設備登記,產業局,非全程式,20240815T114200,20260317T104600,https://service.taipei/case-detail/AF076
產業發展類,產業局,產業局,AF077,289,再生能源發電設備變更、同意備案展延,產業局,非全程式,20240815T114300,20260106T093500,https://service.taipei/case-detail/AF077
產業發展類,產業局,產業局,AF078,296,申請農業用地作農業設施容許使用同意書,產業局,非全程式,20240815T115400,20260313T151700,https://service.taipei/case-detail/AF078
產業發展類,產業局,產業局,AF079,297,農藥販賣業執照申請,產業局,非全程式,20240815T115500,20260313T152000,https://service.taipei/case-detail/AF079
產業發展類,產業局,產業局,AF080,298,農藥販賣業執照變更及註銷,產業局,非全程式,20240815T115500,20260313T152200,https://service.taipei/case-detail/AF080
產業發展類,產業局,產業局,AF081,299,種苗業登記證申請,產業局,全程式,20240815T115600,20260313T152500,https://service.taipei/case-detail/AF081
產業發展類,產業局,產業局,AF082,300,種苗業登記證變更,產業局,非全程式,20240815T115600,20260313T153000,https://service.taipei/case-detail/AF082
產業發展類,產業局,產業局,AF083,301,種苗業登記證廢止,產業局,非全程式,20240815T115700,20250801T170400,https://service.taipei/case-detail/AF083
產業發展類,產業局,產業局,AF084,302,無固定基礎之臨時性與農業生產有關設施證明書,產業局,非全程式,20240815T115800,20260313T160300,https://service.taipei/case-detail/AF084
產業發展類,產業局,產業局,AF085,303,農業用地暨農業發展條例第38條之1土地作農業使用證明書申請,產業局,非全程式,20240815T115800,20260313T160700,https://service.taipei/case-detail/AF085
產業發展類,產業局,產業局,AF086,304,臺北市興建農舍申請人資格審查證明書核發,產業局,非全程式,20240815T115900,20260313T160900,https://service.taipei/case-detail/AF086
產業發展類,產業局,產業局,AF087,305,農場登記,產業局,非全程式,20240815T115900,20250801T165200,https://service.taipei/case-detail/AF087
產業發展類,產業局,產業局,AF088,306,臺北市花博農民市集加強蔬果食品安全檢驗及推廣計畫補助申請,產業局,非全程式,20240815T120000,20250801T120500,https://service.taipei/case-detail/AF088
