行政區,瓦斯行名稱,營業地址,電話,售價-元/每桶16公斤,售價-元/每桶20公斤,位置X座標,位置Y座標
士林區,華珍企業有限公司,福港街107巷17號,28810733,10家平均價格651元最高690元最低600元,10家平均價格763元最高825元最低710元,302338,2775677
萬華區,福民企業有限公司,萬青街93號,23012914,8家平均價格708元最高790元最低605元,8家平均價格804元最高890元最低690元,300639,2768565
大同區,裕新煤氣行,華陰街137號,25553860,10家平均價格712元最高760元最低625元,10家平均價格798元最高850元最低700元,302070,2771431
信義區,協勝煤氣有限公司,吳興街96號,27385100,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,306590,2769266
北投區,利欣煤氣行,實踐街48巷1號,28218290,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,301349,2778629
大安區,陽銘煤氣工業股份有限公司,大安區和平東路3段636巷167號,28913164,8家平均價格664元最高750元最低615元,8家平均價格777元最高820元最低740元,300528,2780374
北投區,久大氣體有限公司,三合街2段428號,28975571,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,300667,2779909
北投區,新北投瓦斯爐具行,義理街58號,28213311,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,302027,2778885
北投區,中央科技興業有限公司,中央北路3段9號,28917800,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,299035,2781170
北投區,一天仁瓦斯行有限公司,登記:中央北路1段159號8樓,28986722,9家平均價格648元最高680元最低585元,9家平均價格749元最高790元最低695元,299045,2780772
中山區,昶新瓦斯行,登記:林森北路85巷2之1號3樓,22150002,7家平均價格680元最高740元最低638元,7家平均價格792元最高850元最低735元,302227,2778791
