年度,被申訴人,申訴人,協商日,爭議內容
109,沐庭生活美學館(華薇國際有限公司),宋○○,1090909,美容退費爭議
109,古典風華禮服租售批發工作室,林○○,1090909,禮服租賃退還訂定爭議
109,家宏建設股份有限公司,王○,1090909,購屋爭議
109,身心靈企業管理顧問有限公司,曾○○,1090908,課程退費爭議
109,仲信資融股份有限公司,林○○,1090908,英文課程退費爭議
109,奇拍有限公司,蘇○○,1090908,線上購物消費爭議
109,和美製鍋有限公司,張○○,1090907,通訊交易解除契約爭議
109,台灣臉書有限公司,陳○○,1090907,臉書帳號消費爭議
109,杰爾有限公司,張○○,1090904,訪問交易消費爭議
109,芸妮有限公司、松山企業有限公司,巫○○,1090401,訪問交易解除契約消費爭議
109,香港商比錫茲有限公司台灣分公司,李○○,1090903,美食外送帳號停權爭議
109,三陽工業股份有限公司,陳○○,1090903,機車瑕疵消費爭議
109,蝦皮賣家：joy168488,屠○○,1090902,線上購物消費爭議
109,樂購蝦皮股份有限公司,屠○○,1090902,線上購物消費爭議
109,得比空間設計有限公司,葉○○,1090902,室內裝潢工程消費爭議
109,JEEVES TAIPEI,林劉○○,1090902,洗衣會員退費消費爭議
109,台灣樂天市場股份有限公司、賣家:樂趣買,張○○,1090901,線上購物消費爭議
109,蝦皮賣家：bup33341,周○○,1090901,線上購物消費爭議
109,蝦皮賣家：eudorakao1213,邱○○,1090831,線上購物消費爭議
109,Eskyfun,李○○,1090828,網路連線遊戲消費爭議
109,伊瑪格科技有限公司,吳○○,1090827,募資商品爭議
109,露天市集賣家帳號：chenyushan,甄○○,1090827,網購解除契約爭議
109,台灣樂線有限公司,蒲○○,1090827,網路連線遊戲消費爭議
109,裕融企業股份有限公司,劉李○○,1090826,美容商品買賣消費爭議
109,君一中古傢俱行,李○○,1090825,電器保固消費爭議
109,利亞婚禮有限公司,洪○○,1090825,婚紗攝影消費爭議
109,遠智創新股份有限公司,曾○○,1090825,網路募資退費消費爭議
109,悠活房屋仲介有限公司,賴○○,1090824,不動產買賣消費爭議
109,富胖達股份有限公司,許○○,1090824,美食外送服務消費爭議
109,雅特美有限公司,黃○○,1090821,訪問買賣消費爭議
109,仲信資融股份有限公司,張○○,1090821,網際網路教學服務爭議
109,遠智創新股份有限公司,溫○○,1090819,集資預購消費爭議
109,富胖達股份有限公司,張○○,1090818,美食外送平台消費爭議
109,協慶不動產仲介有限公司、錢櫃組合屋材料有限公司,黃○○,1090817,土地買賣仲介消費爭議
109,樂購蝦皮股份有限公司(賣家帳號：野比家的 3C店),陳○○,1090817,網路交易消費爭議
109,台灣伊索化妝品股份有限公司,王○○,1090817,商品容器爭議
109,裕富數位資融股份有限公司,吳○○,1090817,美容商品買賣及服務消費爭議
109,老哥碳烤,許○○,1090814,餐飲服務消費爭議
109,遠智創新股份有限公司、嘖室股份有限公司,林○○,1090813,募資商品出貨遲延爭議
109,可承國際股份有限公司、嘖室股份有限公司,賴○○,1090813,網路募資退費消費爭議
109,R & E 蕾懿美睫熱蠟美肌藻針護膚- 淡水竹圍店,鄭○○,1090813,紋眉爭議
109,樂購蝦皮股份有限公司、蝦皮賣家：qoo721208,潘○○,1090813,網路交易消費爭議
109,樂購蝦皮股份有限公司,施○○,1090813,網路交易折扣碼消費爭議
109,詠慧有限公司,郭○○,1090812,網路交易消費爭議
109,芸妮有限公司,黃○○,1090811,美容產品退費爭議
109,馬來西亞商馬亞洲航空有限公司,翁○○,1090810,機票退票爭議
109,馬來西亞商馬亞洲航空有限公司,翁○○,1090810,機票退票爭議
109,台灣之星電信股份有限公司,程○○,1090810,電信費用消費爭議
109,夏都國際開發股份有限公司,陳○○,1090810,住宿消費爭議
109,中華航空股份有限公司,鄧○○,1090807,機票退票爭議
109,莫哥網路遊戲工作室,陳○○,1090807,線上遊戲代為操作爭議
109,遠智創新股份有限公司,江○○,1090807,集資退費爭議
109,皓炫國際有限公司,秦○○,1090805,網路交易退費消費爭議
109,新加坡商競舞電競有限公司、Google LLC,蔡○○,1090805,退費爭議
109,香港商雅虎資訊股份有限公司賣家帳號：Y5375664514,黃○○,1090804,網路交易退費消費爭議
109,可承國際股份有限公司、嘖室股份有限公司,王○○,1090804,網路募資退費消費爭議
109,原價屋電腦有限公司,詹○○,1090729,購買 ROG-STRIX顯示卡爭議
109,蝦皮賣家：eternal008,莊○○,1090728,線上購物消費爭議
109,彩虹健身房（虹巨國際有限公司）,張○○,1090727,健身教練課程退費爭議
109,昱融行銷有限公司,李○○,1090727,債務清償委託消費爭議
109,喬旭不動產仲介經紀有限公司,楊○○,1090727,成屋買賣消費爭議
109,621手機維修店,張○○,1090724,手機退費消費爭議
