年度,被申訴人,申訴人,協商日,爭議內容
113,優購誠品網路購物中心,楊○○,1131129,網路購物
113,伊瑪格科技有限公司,田○○,1131129,寵物用品
113,龍邑股份有限公司,常○○,1131128,網路連線遊戲
113,茱蒂婚紗攝影事業有限公司(RUBY WEDDING台北店),葉○○,1131127,婚紗攝影
113,拾一廣告,陳○○,1131127,網路購物
113,娃娃機台(兌幣機),郭○○,1131126,娃娃機
113,思博特有限公司(IGOGOSPORT),吳○○,1131126,家電及週邊
113,JUSTONE（JOJEAN INC）,林○○,1131125,網路購物
113,樂愛國際有限公司,黃○○,1131125,婚友介紹
113,老大直 Old town bar,陳○○,1131122,菸酒
113,泰熙爾札娜有限公司(泰熙爾札娜寶石學院台中文心店),詹○○,1131122,服飾&鞋包&配件
113,禾喬國際貿易有限公司(超人集運),陳○○,1131122,載客運送&貨物運送
113,新千葉火鍋西門町店,張○○,1131121,食品&食材
113,冷氣安裝業者蘇獻忠,汪○○○,1131120,家電及週邊
113,宇荃開發有限公司,汪○○○,1131120,家電及週邊
113,伊瑪格科技有限公司（Miclub）,胡○○,1131119,網路購物
113,伊瑪格科技有限公司,游○○,1131119,網路購物
113,曼迪傳播有限公司,徐○○,1131119,藝文表演&展覽
113,平價維修手機店,盧○○,1131115,通訊及週邊
113,伊瑪格科技有限公司(miclub米客邦),陳○○,1131113,寵物用品
113,住商實業股份有限公司,蔡○○,1131113,新成屋買賣
113,鋒霖企業有限公司,周○○,1131112,車輛維修
113,商品賣家（蝦皮帳號：twsamurai）,胡○○,1131111,網路購物
113,高登廚櫃有限公司,許○○,1131111,修繕&室內設計裝潢
113,台灣房屋仲介股份有限公司,陳○○,1131111,仲介
113,住商實業股份有限公司,陳○○,1131111,仲介
113,蝦皮賣家帳號：sun_1190,張○○,1131108,網路購物
113,香港商國泰航空有限公司台灣分公司,紀○○,1131108,一般航空
113,宥展車業,劉○○,1131106,新車買賣
113,奇漾特麗有限公司,蘇○○,1131106,車輛週邊
113,伊瑪格科技有限公司,洪○○,1131105,網路購物
113,伊瑪格科技有限公司,戴○○,1131105,寵物用品
113,優食台灣股份有限公司,童○○,1131101,外送平臺
113,台鋼燦星國際旅行社股份有限公司,楊○○,1131101,一般航空
113,信福清潔行,周○○,1131030,家事服務
113,全家便利商店股份有限公司,童○○,1131028,食品&食材
113,中國氫分子醫學科技有限公司,吳○○,1131028,生活雜貨
113,清隆汽車有限公司南港店,李○○,1131028,車輛維修
113,吉兒普拉行銷有限公司(B.P.Y220),劉○,1131025,健身教練
113,台灣參陸壹度股份有限公司 (361ﾟ),周○○,1131025,網路購物
113,富胖達股份有限公司,李○○,1131025,外送平臺
113,MixGene Jewelry混合基因,林○○,1131025,服飾&鞋包&配件
113,妍藝美學工作室,何○○,1131024,美妝
113,寬宏藝術經紀股份有限公司,楊○○,1131023,藝文表演&展覽
113,寬宏藝術經紀股份有限公司,張○○,1131023,藝文表演&展覽
113,吉恩立數位科技股份有限公司,李○○,1131022,網路連線遊戲
113,易絡盟有限公司,洪○○,1131022,網路購物
113,智娛互動科技有限公司,謝○○,1131022,網路連線遊戲
113,台灣小米通訊有限公司,游○○,1131021,網路購物
113,房東張淑芬,楊○○,1131021,不動產租賃
113,健喬健康科技有限公司,陳○○,1131021,保健食品
113,福利汽車股份有限公司,陳○○,1131021,中古車買賣
113,奇漾特麗有限公司(膜幻麗亮美車概念館),廖○○,1131018,車輛維修
113,味益食品行,邱○○,1131018,食品&食材
113,繽麗貓舍,陳○○,1131017,寵物買賣
113,岩林健身器材有限公司,李○○,1131016,健身中心
113,皓炫國際有限公司,黃○○,1131016,網路購物
113,歡樂電器實業有限公司,陳○○,1131015,家電及週邊
113,優步福爾摩沙股份有限公司,陳○○,1131015,共享車輛
113,格雷維蒂互動股份有限公司,潘○○,1131015,網路連線遊戲
113,英屬開曼群島商睿能新動力股份有限公司(GOGORO),翁○○,1131014,車輛週邊
113,林宗賢(房東),闕○○,1131014,不動產租賃
113,一真為你攝影有限公司(發現好室自主攝影),林○○,1131014,婚紗攝影
113,星立方娛樂股份有限公司,袁○,1131014,藝文表演&展覽
113,娃娃機店(臺北市信義區虎林街57號之11),高○○,1131009,動漫玩具周邊
113,全家便利商店股份有限公司,洪○○,1131009,食品&食材
113,PROXY,吳○○,1131008,網路購物
113,PROXY,吳○○,1131008,網路購物
113,金重國際有限公司,吳○○,1131007,新車買賣
113,冠承防水隔熱有限公司,陸○○,1131007,修繕&室內設計裝潢
113,極勁股份有限公司,李○○,1131004,家電及週邊
113,包昇股份有限公司(486團購網),侯○○,1131001,網路購物
113,簡龍有限公司,許○○,1131001,網路購物
113,商品賣家（蝦皮帳號：yuyu100520）,林○○,1130930,網路購物
113,新加坡商蝦皮娛樂電商有限公司,林○○,1130930,網路購物
113,新加坡商蝦皮娛樂電商有限公司,張○○,1130930,網路購物
113,商品賣家（蝦皮帳號：sh831019sh）,張○○,1130930,網路購物
113,伊瑪格科技有限公司,羅○○,1130930,寵物用品
113,科技學股份有限公司,柯○○,1130930,網路教學
113,鐳脈有限公司,何○○,1130930,網路連線遊戲
113,歡樂電器實業有限公司,李○○,1130927,家電及週邊
113,格雷維蒂互動股份有限公司,王○○,1130924,網路連線遊戲
113,尚興資訊有限公司,宋○○,1130924,網路購物
113,露天市集國際資訊股份有限公司,宋○○,1130924,網路購物
113,馨嘉資產管理有限公司,羅○○,1130923,不動產租賃
113,王德平（房東）,宋○○,1130923,不動產租賃
113,台灣小米通訊有限公司,黃○○,1130923,電腦及週邊
113,馬俊偉君（超級資優短期文理補習班）,林○○,1130923,短期補習班
113,統康生活事業股份有限公司師大分公司,童○○,1130920,其他
113,商品賣家東京玩具店（露天帳號：tokyotoy）,蔡○○,1130920,網路購物
113,金莎汽車旅館有限公司,洪○,1130920,旅館民宿
113,馬俊偉君（超級資優短期文理補習班）,陳○○、陳○○,1130920,短期補習班
113,星巡文化有限公司 （深空出版）,林○○,1130919,網路購物
113,奇漾特麗有限公司,章○○,1130919,瘦身美容
113,璞學智慧股份有限公司,謝○○,1130918,留遊學
113,信瑞國際實業有限公司,簡○○,1130918,網路教學
113,岩林健身器材有限公司,馬○○,1130918,健身中心
113,岩林健身器材有限公司,許○○,1130918,健身中心
113,鸚鵡御用精品,邱○○,1130916,其他
113,吉兒普拉行銷有限公司,徐○○,1130916,健身教練
113,鏋鉗有限公司,袁○○,1130912,一頁式廣告
113,聚力建設股份有限公司,楊○○,1130912,預售屋買賣
113,房東黃家萱,連○○,1130911,不動產租賃
113,商品賣家九九文創手作工坊,黃○○,1130911,網路購物
113,富胖達股份有限公司,蔣○○,1130911,外送平臺
113,希華建設股份有限公司,松○○○○○○○○○,1130911,新成屋買賣
113,岩林健身器材有限公司,蕭○○,1130910,健身教練
113,新鈦電子商務有限公司,陳○○,1130910,家電及週邊
113,岩林健身器材有限公司,王○○,1130910,健身教練
113,諾易通訊行,呂○○,1130909,通訊及週邊
113,智勝教育 PMI,胡○○,1130909,留遊學
113,創新思維有限公司(創思兒童科技),夏○○,1130906,非補習之課程
113,超級圓頂娛樂製作有限公司,吳○○,1130906,藝文表演&展覽
113,超級圓頂娛樂製作有限公司,王○○,1130904,藝文表演&展覽
113,伊果時計行,林○○,1130904,服飾&鞋包&配件
113,定桐有限公司,王○○,1130904,寵物用品
113,LOVE PET FAMILY毛孩安心商店,王○○,1130904,寵物用品
113,優食台灣股份有限公司,吳○○,1130904,外送平臺
113,台灣卓一電訊有限公司,謝○○,1130903,網路
113,全家便利商店股份有限公司,童○○,1130903,食品&食材
113,鈊象電子股份有限公司,趙○○,1130903,網路連線遊戲
113,銓宏汽車多媒體科技股份有限公司,黃○○,1130902,車輛週邊
113,圓頂文化事業有限公司,盧○○,1130830,藝文表演&展覽
113,超級圓頂娛樂製作有限公司,温○○,1130830,藝文表演&展覽
113,超級圓頂娛樂製作有限公司,劉○○,1130830,藝文表演&展覽
113,華豐駕訓班,曾○○,1130828,非補習之課程
113,密斯特喬有限公司,吳○○,1130828,動漫玩具周邊
113,FEEL ALIVE . HAIR理髮工作室,李○○,1130828,美甲、髮、睫、齒
113,林彥辰君（業者）,李○○,1130828,美甲、髮、睫、齒
113,長慶運通股份有限公司,楊○○,1130828,網路購物
113,一展國際有限公司,楊○○,1130828,網路購物
113,富珩留遊學代辦股份有限公司,陳○○,1130828,留遊學
113,超級圓頂娛樂製作有限公司,吳○○,1130828,購票網
113,金廈旅行社股份有限公司,王○○,1130826,旅行社
113,國際富豪汽車股份有限公司,謝○○,1130826,新車買賣
113,夜巡概念咖啡廳,施○○,1130826,食品&食材
113,愛貓園有限公司,陳○○,1130826,寵物用品
113,樂維科技有限公司,陳○○,1130826,寵物用品
113,心成顧問股份有限公司,張○○,1130826,非補習之課程
113,家冠國際貿易有限公司,劉○○,1130822,醫療器材
113,樂福數位有限公司,翁○,1130821,攝影及週邊
113,蝦皮賣家帳號：kennychang1,何○○,1130820,網路購物
113,二十一世紀數位科技股份有限公司,鄭○○,1130820,健身中心
113,岩林健身器材有限公司,廖○○,1130815,健身教練
113,定桐有限公司（LOVE PET FAMILY 毛孩安心商店）,曾○○,1130815,網路購物
113,茱蒂婚紗攝影事業有限公司(RUBY WEDDING台北店),莊○○,1130814,婚紗攝影
113,商品賣家（蝦皮帳號：johnnyhsien）,陳○○,1130814,網路購物
113,買對股份有限公司,戴○○,1130814,團購平臺
113,龍邑股份有限公司,俞○○,1130814,網路連線遊戲
113,狗尾草寵物股份有限公司,林○○,1130813,寵物美容
113,萊光工作室,李○○,1130813,服飾&鞋包&配件
113,晴玉川工程行,鄭○○,1130812,修繕&室內設計裝潢
113,仲信資融股份有限公司,高○○,1130812,網路教學
113,芸妮有限公司,蔡○○,1130812,美妝
113,福緣白龍宮旅館,潘○○,1130809,旅館民宿
113,曙光工作室,黃○○,1130809,通訊或社群軟體交易
113,智勝教育顧問有限公司,曾○○,1130808,留遊學
113,合迪股份有限公司,劉○○,1130808,新車買賣
113,商品賣家（蝦皮帳號：@0jghxkqip5）,相○○,1130807,網路購物
113,nanai_.nailsss,黃○○,1130807,美甲、髮、睫、齒
113,睿濬國際股份有限公司,吳○○,1130807,募資平臺
113,裕富數位資融股份有限公司,曾○○,1130807,網路教學
113,愛貓園動物醫院,楊○○,1130806,寵物醫療
113,悅華智能精品屋,江○○,1130806,其他
113,狀元K書中心,施○○,1130805,其他
113,格銳費科技股份有限公司,劉○○,1130805,募資平臺
113,友美子珈琲,王○○,1130802,食品&食材
113,芸妮有限公司,湯○○,1130802,美妝
113,phoneoutlet,羅○○,1130802,通訊及週邊
113,國寶服務股份有限公司,陳○○○,1130801,生前契約
113,台灣樂線有限公司,裴○○,1130731,網路連線遊戲
113,優食台灣股份有限公司,吳○○,1130731,外送平臺
113,安晴電子商務有限公司,黃○○,1130730,網路購物
113,大圓寶鏡科技文化有限公司(雅虎賣家帳號:Y3561657611),何○○,1130730,生活雜貨
113,商品賣家（蝦皮帳號：6wz2m66p67）,但○○,1130730,網路購物
113,共享棒球股份有限公司,蔡○○,1130729,競技運動
113,仲信資融股份有限公司,廖○○,1130726,短期補習班
113,巨匠電腦股份有限公司附設臺北市私立巨塑語文短期補習班,廖○○,1130726,短期補習班
113,永豐國際行銷有限公司,柯○○,1130726,路跑
113,馬來西亞商馬亞洲航空有限公司,沈○○,1130723,廉價航空
113,中租迪和股份有限公司,謝○○,1130723,融資(銀行及民間)
113,《森林裡的約定》玖夜＆伊得2024慶生籌備小組,林○○,1130723,藝文表演&展覽
113,府宴有限公司,劉○○,1130719,餐廳外燴
113,真祿商號,許○○,1130717,服飾&鞋包&配件
113,創芯威國際股份有限公司,陳○○,1130717,網路購物
113,科捷網路平台有限公司,李○○,1130716,洗衣、鞋、包
113,展雲事業股份有限公司,蕭○○,1130716,殯葬商品
113,采梵貿易有限公司,周○○,1130716,服飾&鞋包&配件
113,台灣樂線有限公司,陳○○,1130715,網路連線遊戲
113,睿能創意營銷股份有限公司,許○○,1130712,新車買賣
113,凱宇有限公司,許○○,1130712,新車買賣
113,山紀國際有限公司,林○○,1130710,網路購物
113,買對股份有限公司,陳○○,1130710,網路購物
113,商品賣家（蝦皮帳號：haichao1002）海潮潮服企業社,林○○,1130710,網路購物
113,商品賣家（蝦皮帳號：bainitomusoda）,林○○,1130710,網路購物
113,芸妮有限公司,黃○○,1130709,美妝
113,一展國際有限公司,劉○○,1130709,美妝
113,巴中聖淘沙旅館,葛○○,1130709,旅館民宿
113,一書漫閱讀資訊館,徐○○、邱○○,1130708,其他
113,蝦皮賣家帳號：vusphuongchi,羅○○,1130708,網路購物
113,房東柯本生,辜○○,1130705,不動產租賃
113,參參柒連結創造有限公司,劉○○,1130705,婚友介紹
113,商品賣家（蝦皮帳號：ttkku44u23）,徐○○,1130705,網路購物
113,中華民國舒康樂活運動協會,戴○○,1130704,路跑
113,巴酷運動有限公司,羅○○,1130703,服飾&鞋包&配件
113,萊光工作室,高○○,1130702,服飾&鞋包&配件
113,谷奧科技股份有限公司,江○○,1130702,車輛租賃
113,高雄汽車客運股份有限公司,應○○,1130702,載客運送&貨物運送
113,樂聚多科技股份有限公司,陳○○,1130702,網路連線遊戲
113,長鴻榮實業股份有限公司,鄒○○,1130701,食品&食材
113,藝峰塗裝工坊,林○○,1130701,車輛週邊
113,原創工作室,吳○○,1130628,車輛維修
113,創盛國際實業有限公司,許○○,1130628,食品&食材
113,台塑旅行社股份有限公司,吳○○、吳○○○,1130628,旅遊及訂房平臺
113,陳品端地政士事務所,紀○○,1130627,仲介
113,環安家居有限公司,楊○○,1130627,傢俱家飾
113,一荃順國際物流有限公司,李○○,1130626,網路購物
113,香港商初心網絡科技股份有限公司,陳○○,1130625,網路連線遊戲
113,全省瓦斯設備工程行,梅○○,1130625,桶裝瓦斯
113,力新國際文化事業股份有限公司,趙○○,1130625,複合式教材
113,吉兒普拉行銷有限公司(B.P.Y220台北忠孝店),謝○○,1130624,健身教練
113,攝狗狗工作室,邱○○,1130624,寵物用品
113,玩美商行,黃○○,1130621,瘦身美容
113,喵星人貓舍幼貓寵物店,張○○,1130621,寵物買賣
113,新加坡商犀牛盾科技股份有限公司,陳○○,1130621,通訊及週邊
113,玩美商行,洪○○,1130621,瘦身美容
113,愛菲爾室內設計系統家具,王○○,1130621,修繕&室內設計裝潢
113,格銳費科技股份有限公司,朱○○,1130621,募資平臺
113,陳品端地政士事務所,李○○○,1130620,仲介
113,房東謝宜玲及高志宇,李○○,1130617,不動產租賃
113,阿拉伯聯合大公國商阿聯酋國際航空有限公司,高○○,1130614,一般航空
113,阿牛犬貓急診醫院,寇○○,1130611,寵物醫療
113,商品賣家（蝦皮帳號：cz4jb2h_tn）,劉○○,1130611,生活雜貨
113,尚禾亞國際貿易有限公司,許○○,1130607,瘦身美容
113,"廣新達汽車商行(市招：廣達汽車)	",陳○○,1130606,中古車買賣
113,熱酷科技有限公司,楊○○,1130605,網路連線遊戲
113,Kozi kozi 舒室,盧○○,1130604,整復推拿
113,貝殼島有限公司,施○○,1130604,網路購物
113,新加坡商蝦皮娛樂電商有限公司,林○○,1130604,網路購物
113,蝦皮賣家帳號：loveboy1115,林○○,1130604,網路購物
113,商品賣家（蝦皮帳號：just123tutu）,江○○,1130604,網路購物
113,商品賣家（蝦皮帳號：yippee94168）,姚○○,1130604,傢俱家飾
113,山富國際旅行社股份有限公司,曾○○,1130604,旅行社
113,台灣聯想環球科技股份有限公司,仲○○,1130603,電腦及週邊
113,碩希有限公司,黃○○,1130529,網路購物
113,雅虎賣家帳號:Y9981533366,林○○,1130529,網路購物
113,天籟企業社(台灣SAMURAL專業汽機百貨),林○○,1130529,網路購物
113,房東陳朝修,林○○,1130528,不動產租賃
113,蝦皮賣家帳號:thuyngandh97pt.tw,張○○,1130528,服飾&鞋包&配件
113,新加坡商蝦皮娛樂電商有限公司,張○○,1130528,服飾&鞋包&配件
113,香港商世界健身事業有限公司,盧○○,1130528,健身中心
113,超級圓頂事業股份有限公司,吳○○,1130527,藝文表演&展覽
113,遠大娛樂股份有限公司,吳○○,1130527,藝文表演&展覽
113,大鴻藝術股份有限公司,吳○○,1130527,藝文表演&展覽
113,曙客股份有限公司,林○○,1130527,電影院
113,大鴻藝術股份有限公司,張○○,1130527,藝文表演&展覽
113,尚禾亞國際貿易有限公司,席○○,1130524,瘦身美容
113,台灣微軟股份有限公司,鄒○○,1130524,網路
113,商品賣家壹級棒貓犬用品（蝦皮帳號：dxhu88w6e3）,周○○,1130524,寵物醫療
113,從星開始有限公司,廖○○,1130524,網路教學
113,速龍有限公司,楊○○,1130523,服飾&鞋包&配件
113,傑克運動國際有限公司,涂○○,1130520,健身中心
113,kozi.kozi舒室,江○○,1130520,整復推拿
113,臺灣言易合國際有限公司,劉○○,1130520,通訊及週邊
113,房東郭吳美智,黎○○,1130516,不動產租賃
113,韓研敦品行號,高○○,1130514,服飾&鞋包&配件
113,環球國際基因科技事業有限公司 （Kidsports 環球兒童運動學院）,須○○,1130514,體育場館
113,房東張香琴,吳○○,1130510,不動產租賃
113,BOBO SHOP 美國代購,陳○○,1130510,代購
113,蜂群電子商務股份有限公司(瓦斯通),蘇○○,1130509,桶裝瓦斯
113,露天市集國際資訊股份有限公司,鄭○○,1130508,網路購物
113,夏橙民宿,任○○,1130508,旅館民宿
113,商品賣家訊億貿易有限公司,鄭○○,1130508,網路購物
113,露天市集國際資訊股份有限公司,游○○,1130508,網路購物
113,商品賣家（露天帳號：banjoman）,游○○,1130508,網路購物
113,香港商國泰航空有限公司,楊○○,1130507,一般航空
113,尚禾亞國際貿易有限公司,李○○,1130503,瘦身美容
113,尚禾亞國際貿易有限公司,侯○○,1130503,瘦身美容
113,尚禾亞國際貿易有限公司,郭○○,1130503,瘦身美容
113,商品賣家（蝦皮帳號：selenasanchez202）,王○○,1130503,食品&食材
113,瑞絲有限公司,胡○,1130503,家電及週邊
113,尚禾亞國際貿易有限公司,王○○,1130503,瘦身美容
113,尚禾亞國際貿易有限公司,劉○○,1130430,瘦身美容
113,樂艾工作室,徐○○,1130429,美甲、髮、睫、齒
113,宇拓創新股份有限公司(A lifetale生活童話),劉○○,1130429,網路購物
113,芸妮有限公司,徐○○,1130426,美妝
113,soulmatelifestudio,費○○,1130425,網路購物
113,阿牛犬貓急診醫院,楊○○,1130424,寵物醫療
113,御岷企業管理社,張○○,1130424,整復推拿
113,斯諾動資股份有限公司,王○○,1130423,載客運送&貨物運送
113,全聯實業股份有限公司,楊○○,1130423,生活雜貨
113,商品賣家（蝦皮帳號：smiletw01）,魏○○,1130422,家電及週邊
113,速龍有限公司,冷○○,1130422,一頁式廣告
113,糖朝餐飲股份有限公司,陳○○,1130418,禮券
113,優食台灣股份有限公司,徐○○,1130417,載客運送&貨物運送
113,萬隱娛樂有限公司,王○○,1130416,電子書&新聞
113,台灣卓一電訊有限公司,葉○○,1130416,網路購物
113,尚禾亞國際貿易有限公司,王○○,1130412,瘦身美容
113,晨希時尚股份有限公司,林○○,1130409,服飾&鞋包&配件
113,慶盛國際貿易股份有限公司,吳○○,1130409,動漫玩具周邊
113,築城國際事業有限公司,柯○○,1130409,修繕&室內設計裝潢
113,星巡文化有限公司,簡○○,1130408,套書及出版品
113,完美女人SPA館,莊○○,1130408,瘦身美容
113,千儂有限公司,林○○,1130401,美妝
113,芸妮有限公司,林○○,1130401,美妝
113,商品賣家（蝦皮帳號：crjp796eti）,林○○,1130401,網路購物
113,臺北市私立首選文理短期補習班,林○○,1130329,短期補習班
113,魔方數位資訊服務有限公司,黃○○,1130329,網路連線遊戲
113,UNII beauty 豪宅美甲,吳○○,1130328,美甲、髮、睫、齒
113,大立欣業工程有限公司,李○○,1130328,修繕&室內設計裝潢
113,台北家居展匯有限公司,謝○○,1130328,傢俱家飾
113,台灣索尼互動娛樂股份有限公司,蔡○○,1130326,網路連線遊戲
113,蝦皮賣家帳號：go817,鄧○○,1130326,網路購物
113,寬宏藝術經紀股份有限公司,陳○○,1130326,藝文表演&展覽
113,寰準數位有限公司,歐○○○,1130325,婚友介紹
113,第一國際資融股份有限公司,歐○○○,1130325,婚友介紹
113,芸妮有限公司,温○○,1130325,美妝
113,睿能創意股份有限公司,胡○○,1130322,新車買賣
113,遠信國際資融股份有限公司,陳○○,1130322,資格認證
113,希克斯股份有限公司,陳○○,1130322,資格認證
113,富邦媒體科技股份有限公司,于○○,1130321,網路購物
113,台灣小米通訊有限公司,李○○,1130320,家電及週邊
113,"香港商世界健身事業有限公司	",潘○○,1130320,健身中心
113,"聖合光美學有限公司	",王○,1130320,美甲、髮、睫、齒
113,尚禾亞國際貿易有限公司,鍾○○,1130319,瘦身美容
113,商品賣家（蝦皮帳號：sunnysica）,吳○○,1130318,網路
113,信瑞國際實業有限公司,曾○○,1130318,資格認證
113,華碩電腦股份有限公司,羅○○,1130315,電腦及週邊
113,Beautyslesh紋繡設計學院,曾○○,1130315,非補習之課程
113,富有線上有限公司,馬○○,1130313,網路連線遊戲
113,律證管理顧問有限公司,蔡○○,1130312,其他
113,尚禾亞國際貿易有限公司,洪○○,1130311,瘦身美容
113,汪君彥(烏迪雅那生命奥義學院),李○○,1130311,非補習之課程
113,臻穎股份有限公司,張○○,1130308,洗衣、鞋、包
113,洗衣大學,趙○○,1130307,洗衣、鞋、包
113,台灣喜成美的事業有限公司,林○○,1130306,美甲、髮、睫、齒
113,台灣大車隊股份有限公司,鄭○○,1130306,載客運送&貨物運送
113,北都汽車股份有限公司,呂○○,1130306,新車買賣
113,秉忻國際開發股份有限公司,林○○,1130305,網路購物
113,媚恪有限公司,周○,1130304,瘦身美容
113,芸妮有限公司,周○,1130304,瘦身美容
113,欣象多媒體整合行銷股份有限公司,高○○,1130304,藝文表演&展覽
113,嘖室股份有限公司,謝○○,1130304,募資平臺
113,嘉陞國際實業有限公司,謝○○,1130304,募資平臺
113,仲信資融股份有限公司,阮○○,1130301,融資(銀行及民間)
113,雅伊美甲美容時尚館,柯○○,1130301,美甲、髮、睫、齒
113,尚禾亞國際貿易有限公司,葉○○,1130229,瘦身美容
113,芸妮有限公司榮總店（愛妮雅化妝品集團）,陳○○,1130227,美妝
113,台灣喜成美的事業有限公司,許○○,1130226,美甲、髮、睫、齒
113,Le Passage Hostel 拉開門輕旅,杜○○,1130222,旅館民宿
113,台灣喜成美的事業有限公司,鍾○○,1130220,美甲、髮、睫、齒
113,台灣喜成美的事業有限公司(minou),潘○○,1130220,美甲、髮、睫、齒
113,台灣喜成美的事業有限公司,李○○,1130220,美甲、髮、睫、齒
113,第一國際資融股份有限公司,李○○,1130219,瘦身美容
113,富胖達股份有限公司,葉○○,1130219,外送平臺
113,一手好車汽車商行,馬○○,1130219,中古車買賣
113,芸妮有限公司,章○○,1130216,瘦身美容
113,智冠科技股份有限公司,林○○,1130206,網路連線遊戲
113,愛爾麗生技股份有限公司,何○○,1130206,醫學美容
113,仲信資融股份有限公司,何○○,1130206,醫學美容
113,芸妮有限公司(愛妮雅化妝品),陳○○,1130206,瘦身美容
113,巨泰旅行社有限公司,張○○,1130206,旅行社
113,台灣喜成美的事業有限公司,黃○○,1130205,美甲、髮、睫、齒
113,台灣樂線有限公司,周○○,1130201,網路連線遊戲
113,尚禾亞國際貿易有限公司,楊○○,1130130,瘦身美容
113,蝦皮賣家帳號：belief_tw,李○○,1130130,網路購物
113,雅虎賣家帳號: Y3052683070,王○○,1130130,網路購物
113,香港商雅虎資訊股份有限公司,王○○,1130130,網路購物
113,露天賣家帳號：aliexcomacovenpes5902,林○○,1130130,網路購物
113,商品賣家黃金梅利號（露天帳號：order-buy0923617020）,賴○○,1130129,動漫玩具周邊
113,仲信資融股份有限公司,何○○,1130129,非補習之課程
113,希克斯股份有限公司,何○○,1130129,非補習之課程
113,寬宏藝術經紀股份有限公司,徐○○,1130129,購票網
113,台灣威富品牌有限公司,呂○○,1130129,網路購物
113,盛昌乾洗商店,趙○○,1130129,洗衣、鞋、包
113,琁甲指彩沙龍工作室,莊○○,1130126,美甲、髮、睫、齒
113,萬隱娛樂有限公司,陳○○,1130126,藝文表演&展覽
113,饗賓餐旅事業股份有限公司(旭集),張○○,1130125,食品&食材
113,商品賣家（蝦皮帳號：watchonline2019）,張○○,1130123,網路購物
113,饒嘉琳,連○○,1130122,醫學美容
113,雅虎賣家帳號: Y1257846164,謝○○,1130119,網路購物
113,台灣小米通訊有限公司,王○○,1130118,通訊及週邊
113,宇拓創新股份有限公司,王○○,1130116,傢俱家飾
113,劍橋汽車有限公司,戴○○,1130116,中古車買賣
113,全家便利商店股份有限公司,陳○○,1130115,食品&食材
113,和運租車股份有限公司,程○,1130115,車輛租賃
113,旻泉文具行,李○○,1130115,網路購物
113,齊翼整合行銷股份有限公司,周○○,1130115,預售屋買賣
113,學米股份有限公司,陳○○,1130115,網路教學
113,寬宏藝術經紀股份有限公司,高○○,1130111,藝文表演&展覽
113,富胖達股份有限公司,丁○○,1130108,外送平臺
113,天石諮詢有限公司,江○○,1130108,短期補習班
