序號,醫療機構名稱,地址,訪查項目,連絡電話,手機,物理治療,職能治療,語言治療,心理治療,等第,等第,複查
53,旭康復健科診所,臺北市北投區石牌路一段40號,OT.PT.ST,(02)28280067,,V,V,V,,甲,甲,
54,辰光心理治療所,臺北市北投區立農街二段202巷2弄1號,PSY,,0978946396,,,,V,優,優,
55,天母力康診所,臺北市北投區明德路365號教學大樓3樓,OT.PT.ST,(02)28210866,,V,V,V,,甲,甲,
56,家語言治療所,臺北市北投區致遠一路2段107號,ST,(02)28217003,,,,V,,甲,甲,
57,稻香職能治療所-委託臺北榮民總醫院經營管理,臺北市北投區稻香路81號,OT,(02)28956001,,,V,,,甲,甲,
58,安安優腦職能治療所,臺北市北投區磺港路8號7樓,OT,(02)28912323,,,V,,,通過,乙,乙等通過
59,悠適復健科診所,臺北市松山區光復北路11巷65.67號,OT.PT.ST,(02)27493088,,V,V,V,,甲,甲,
60,正風復健科診所,臺北市松山區光復北路135號1樓,OT.ST,(02)27602666,,,V,V,,甲,甲,
61,松原復健診所,臺北市松山區光復北路206號1樓,OT,(02)87123552,,,V,,,甲,甲,
62,康健診所,臺北市松山區延吉街11號2樓,OT.PT.PSY,(02)25779682,,V,V,,V,甲,甲,
63,轉轉心理治療所,臺北市松山區南京東路四段50號9樓之6,PSY,(02)25796965,,,,,V,甲,甲,
64,荷普職能治療所,臺北市松山區敦化北路114、116號2樓,OT.ST,(02)25472315,,,V,V,,優,優,
65,安兒康小兒專科診所,臺北市松山區敦化北路118號,PT,(02)77287688,,,,,V,甲,甲,
66,六安復健科診所,臺北市信義區吳興街467巷2弄14號,OT.PT,(02)27296677,,V,V,,,甲,甲,
67,原力復健科診所,臺北市信義區基隆路二段145號B1、1、2樓,OT.PT.ST.PSY,(02)27327091,,V,V,V,V,甲,甲,
68,順康復健科診所,臺北市信義區莊敬路364號1、2樓,OT.PT,(02)23450011,,V,V,,,甲,甲,
69,開馨診所,臺北市南港區南港路二段38巷6-1號1 樓,PSY.OT.ST,(02)26532987,,,V,V,V,優,優,
70,彭聆語言治療所,臺北市萬華區中華路一段16號,ST,(02)23880648,,,,V,,特優,特優,
71,瑞生診所,臺北市萬華區西園路二段250號2樓,OT,(02)23012788,,,V,,,優,優,
72,永康診所,臺北市萬華區桂林路47號,OT,(02)23123455,,,V,,,甲,甲,
