縣市代碼,行政區,幼兒園,設立別,評鑑學年度
63000,大安區,臺北市私立華菂幼兒園,私立,107
63000,大安區,臺北市私立格登幼兒園,私立,107
63000,大安區,臺北市私立經緯幼兒園,私立,107
63000,大安區,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,私立,107
63000,大安區,財團法人中國文化大學附設臺北市私立文化幼兒園,私立,107
63000,大安區,臺北市私立奇幻幼兒園,私立,107
63000,大安區,臺北市私立嘟嘟幼兒園,私立,107
63000,大安區,臺北市私立予心屋幼兒園,私立,107
63000,大安區,臺北市私立蒙特梭利愛兒園幼兒園,私立,107
63000,大安區,臺北市私立吉事達康博喜幼兒園,私立,107
63000,大安區,臺北市私立磊心蒙特梭利幼兒園,私立,107
63000,萬華區,臺北市私立育光幼兒園,私立,107
63000,萬華區,臺北市私立慈愛幼兒園,私立,107
63000,萬華區,臺北市私立聖保羅幼兒園,私立,107
63000,萬華區,臺北市私立小樹苗華頓幼兒園,私立,107
63000,信義區,臺北市私立吳興幼兒園,私立,107
63000,信義區,臺北市私立清心幼兒園,私立,107
63000,信義區,臺北市私立達德幼兒園,私立,107
63000,信義區,臺北市私立友愛幼兒園,私立,107
63000,信義區,臺北市私立六三幼兒園,私立,107
63000,信義區,臺北市私立君格幼兒園,私立,107
63000,信義區,臺北市私立上群蒙特梭利信義幼兒園,私立,107
63000,士林區,臺北市私立慈暉幼兒園,私立,107
63000,士林區,臺北市私立好來幼兒園,私立,107
63000,士林區,臺北市私立育成幼兒園,私立,107
63000,士林區,臺北市私立日晴幼兒園,私立,107
63000,士林區,臺北市私立何嘉仁幼兒園,私立,107
63000,士林區,財團法人臺灣聖公會附設臺北市私立牧愛堂幼兒園,私立,107
63000,士林區,臺北市私立沐恩蒙特梭利幼兒園,私立,107
63000,士林區,臺北市私立孩子國幼兒園,私立,107
63000,士林區,臺北市私立凱斯幼兒園,私立,107
63000,士林區,臺北市私立愛樂芬幼兒園,私立,107
63000,士林區,臺北市私立熊寶貝幼兒園,私立,107
63000,士林區,臺北市私立太和蒙特梭利幼兒園,私立,107
63000,士林區,臺北市私立道思幼兒園,私立,107
63000,北投區,臺北市湖田實驗國民小學附設幼兒園,公立,107
63000,北投區,財團法人臺灣基督長老教會雙連教會附設臺北市私立雙連幼兒園,私立,107
63000,北投區,臺北市私立新茗幼兒園,私立,107
63000,北投區,臺北市私立采郁蒙特梭利幼兒園,私立,107
63000,北投區,臺北市私立優格快樂幼兒園,私立,107
63000,北投區,臺北市北投區立農國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區逸仙國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區文林國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區石牌國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區義方國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區文化國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區明德國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區北投國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區關渡國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區清江國民小學附設幼兒園,公立,107
63000,北投區,臺北市泉源實驗國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區大屯國民小學附設幼兒園,公立,107
63000,北投區,臺北市北投區湖山國民小學附設幼兒園,公立,107
63000,北投區,臺北市立北投幼兒園,公立,107
63000,北投區,臺北市私立一德幼兒園,私立,107
63000,北投區,臺北市私立新天地幼兒園,私立,107
63000,北投區,臺北市私立橘子蒙特梭利幼兒園,私立,107
63000,北投區,臺北市私立中正員工子女幼兒園（臺北市立中正高級中學委託陳淑鈴辦理）,私立,107
63000,北投區,臺北市私立德美蒙特梭利幼兒園,私立,107
63000,北投區,臺北市私立超級寶貝幼兒園,私立,107
63000,北投區,臺北市私立潘蜜拉幼兒園,私立,107
63000,北投區,臺北市私立天華幼兒園,私立,107
63000,北投區,臺北市私立城市國際幼兒園,私立,107
63000,內湖區,臺北市私立櫻之圓蒙特梭利幼兒園,私立,107
63000,內湖區,臺北市私立文心幼兒園,私立,107
63000,內湖區,臺北市私立民祥幼兒園,私立,107
63000,內湖區,臺北市私立華泰幼兒園,私立,107
63000,內湖區,臺北市私立立湖幼兒園,私立,107
63000,內湖區,臺北市私立聖育幼兒園,私立,107
63000,內湖區,臺北市私立勁寶兒文德幼兒園,私立,107
63000,內湖區,臺北市私立聖喬治幼兒園,私立,107
63000,內湖區,臺北市私立巧可麗查理布朗幼兒園,私立,107
63000,內湖區,臺北市私立小瓢蟲幼兒園,私立,107
63000,內湖區,臺北市私立塞凡提幼兒園,私立,107
63000,內湖區,臺北市私立多元智慧幼兒園,私立,107
63000,內湖區,臺北市私立來來幼兒園,私立,107
63000,內湖區,臺北市私立聖安幼兒園,私立,107
63000,內湖區,遊戲橘子數位科技股份有限公司附設臺北市私立員工子女幼橘園幼兒園,私立,107
63000,南港區,臺北市私立大方凌雲幼兒園,私立,107
63000,南港區,臺北市南港區東新國民小學附設幼兒園,公立,107
63000,南港區,臺北市南港區修德國民小學附設幼兒園,公立,107
63000,南港區,臺北市南港區南港國民小學附設幼兒園,公立,107
63000,南港區,臺北市南港區玉成國民小學附設幼兒園,公立,107
63000,南港區,臺北市南港區成德國民小學附設幼兒園,公立,107
63000,南港區,臺北市立南港幼兒園,公立,107
63000,南港區,臺北市南港區舊莊國民小學附設幼兒園,公立,107
63000,南港區,臺北市私立何嘉仁南港幼兒園,私立,107
63000,南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,107
63000,南港區,中央研究院附設臺北市私立幼兒園,私立,107
63000,南港區,臺北市私立達芬奇多元智能幼兒園,私立,107
63000,南港區,臺北市私立甘霖幼兒園,私立,107
63000,南港區,臺北市私立欣苗寶貝幼兒園,私立,107
63000,文山區,臺北市私立清華幼兒園,私立,107
63000,文山區,臺北市私立幼林幼兒園,私立,107
63000,文山區,臺北市私立木柵寶仁幼兒園,私立,107
63000,文山區,臺北市私立荳荳幼兒園,私立,107
63000,文山區,臺北市文山區景美國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區溪口國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區志清國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區武功國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區興德國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區興華國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區景興國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區興隆國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區明道國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區木柵國民小學附設幼兒園,公立,107
63000,文山區,臺北市博嘉實驗國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區萬芳國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區萬興國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區力行國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區萬福國民小學附設幼兒園,公立,107
63000,文山區,臺北市文山區辛亥國民小學附設幼兒園,公立,107
63000,文山區,臺北市立文山幼兒園,公立,107
63000,文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,107
63000,文山區,臺北市私立千千幼兒園,私立,107
63000,文山區,財團法人台北市華亞之聲社中華基督教便以利教會附設臺北市私立華聲幼兒園,私立,107
63000,文山區,臺北市私立仁美幼兒園,私立,107
63000,文山區,臺北市私立惠生幼兒園,私立,107
63000,文山區,臺北市私立書宜幼兒園,私立,107
63000,文山區,臺北市私立幼學館幼兒園,私立,107
63000,文山區,臺北市私立諾貝兒幼兒園,私立,107
63000,文山區,臺北市私立南方幼兒園,私立,107
63000,文山區,臺北市私立勁寶兒公館幼兒園,私立,107
63000,中正區,臺北市私立南門幼兒園,私立,108
63000,中正區,臺北市中正區螢橋國民小學附設幼兒園,公立,108
63000,中正區,臺北市中正區國語實驗國民小學附設幼兒園,公立,108
63000,中正區,臺北市中正區東門國民小學附設幼兒園,公立,108
63000,中正區,臺北市中正區忠義國民小學附設幼兒園,公立,108
63000,中正區,臺北市中正區河堤國民小學附設幼兒園,公立,108
63000,中正區,臺北市中正區忠孝國民小學附設幼兒園,公立,108
63000,中正區,臺北市立大學附設實驗國民小學附設幼兒園,公立,108
63000,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,私立,108
63000,中正區,法務部附設臺北市私立員工子女幼兒園,私立,108
63000,中正區,臺北市私立巨勝幼兒園,私立,108
63000,中正區,臺北市私立智寶園幼兒園,私立,108
63000,中正區,財團法人台北基督教女青年會附設臺北市私立幼兒園,私立,108
63000,中正區,臺北市中正區南門國民小學附設幼兒園,公立,108
63000,大同區,臺北市私立榮星幼兒園,私立,108
63000,中山區,臺北市私立愛迪兒幼兒園,私立,108
63000,中山區,臺北市中山區長安國民小學附設幼兒園,公立,108
63000,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,私立,108
63000,中山區,臺北市私立新生幼兒園,私立,108
63000,中山區,臺北市私立新自立幼兒園,私立,108
63000,中山區,臺北市私立龍江幼兒園,私立,108
63000,中山區,臺北市私立道明幼兒園,私立,108
63000,中山區,臺北市私立大智幼兒園,私立,108
63000,松山區,臺北市私立凱思寶幼兒園,私立,108
63000,松山區,財團法人福智文教基金會附設臺北市私立妙慧幼兒園,私立,108
63000,松山區,臺北市立敦化國民中學教師會附設臺北市私立員工子女幼兒園,私立,108
63000,松山區,臺北市私立卡兒堡幼兒園,私立,108
63000,松山區,臺北市私立嘉維幼兒園,私立,108
63000,松山區,臺北市私立喜樂幼兒園,私立,108
63000,松山區,臺北市私立勁寶兒民權幼兒園,私立,108
63000,松山區,臺北市私立馨兒園幼兒園,私立,108
63000,松山區,臺北市私立多多優質幼兒園,私立,108
63000,松山區,臺北市私立賀瑞幼兒園,私立,108
63000,松山區,臺北市私立聖如幼兒園,私立,108
63000,松山區,臺北市私立聖儒幼兒園,私立,108
63000,大安區,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,私立,108
63000,大安區,臺北市大安區龍安國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區建安國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區仁愛國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區銘傳國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區公館國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區大安國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區新生國民小學附設幼兒園,公立,108
63000,大安區,臺北市大安區幸安國民小學附設幼兒園,公立,108
63000,大安區,國立臺北教育大學附設實驗國民小學附設幼兒園,公立,108
63000,大安區,臺北市立大安幼兒園,公立,108
63000,大安區,臺北市私立橘子樹幼兒園,私立,108
63000,大安區,臺北市私立心聲幼兒園,私立,108
63000,大安區,臺北市私立長青幼兒園,私立,108
63000,大安區,臺北市私立佳安幼兒園,私立,108
63000,大安區,臺北市私立信望愛幼兒園,私立,108
63000,大安區,臺北市私立四維幼兒園,私立,108
63000,大安區,財團法人天主教會台北教區附設臺北市私立曉星幼兒園,私立,108
63000,大安區,臺北市私立上群蒙特梭利幼兒園,私立,108
63000,大安區,臺北市私立小天心幼兒園,私立,108
63000,大安區,臺北市私立敦歆幼兒園,私立,108
63000,大安區,臺北市私立仁愛幼兒園,私立,108
63000,大安區,臺北市私立滿兒圓幼兒園,私立,108
63000,大安區,臺北市私立享銘幼兒園,私立,108
63000,大安區,臺北市私立華康幼兒園,私立,108
63000,大安區,臺北市私立菁英種子幼兒園,私立,108
63000,大安區,臺北市和平實驗國民小學附設幼兒園,公立,108
63000,大安區,臺北市私立樹屋幼兒園,私立,108
63000,萬華區,臺北市私立何嘉仁中華幼兒園,私立,108
63000,萬華區,臺北市萬華區西門國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區大理國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區西園國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區老松國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區龍山國民小學附設幼兒園,公立,108
63000,萬華區,臺北市立南海實驗幼兒園,公立,108
63000,萬華區,臺北市萬華區雙園國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區萬大國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區福星國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區新和國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區華江國民小學附設幼兒園,公立,108
63000,萬華區,臺北市萬華區東園國民小學附設幼兒園,公立,108
63000,萬華區,臺北市立萬華幼兒園,公立,108
63000,萬華區,臺北市私立盈虹幼兒園,私立,108
63000,萬華區,臺北市私立幼佳幼兒園,私立,108
63000,萬華區,臺北市私立光仁國民小學附設幼兒園,私立,108
63000,萬華區,臺北市私立歡樂童年幼兒園,私立,108
63000,信義區,臺北市私立聖幼幼兒園,私立,108
63000,信義區,臺北市私立信義蒙特梭利幼兒園,私立,108
63000,信義區,臺北市信義區光復國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區福德國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區信義國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區永春國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區永吉國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區博愛國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區吳興國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區三興國民小學附設幼兒園,公立,108
63000,信義區,臺北市信義區興雅國民小學附設幼兒園,公立,108
63000,信義區,臺北市立信義幼兒園,公立,108
63000,信義區,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,私立,108
63000,信義區,臺北市私立天琪幼兒園,私立,108
63000,信義區,臺北市私立逸仙幼兒園,私立,108
63000,士林區,臺北市士林區百齡國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區社子國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區福林國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區陽明山國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區雨農國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區文昌國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區芝山國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區富安國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區士林國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區雙溪國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區劍潭國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區蘭雅國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區士東國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區葫蘆國民小學附設幼兒園,公立,108
63000,士林區,臺北市士林區平等國民小學附設幼兒園,公立,108
63000,士林區,臺北市立士林幼兒園,公立,108
63000,士林區,臺北市士林區溪山國民小學附設幼兒園,公立,108
63000,士林區,臺北市私立博仁幼兒園,私立,108
63000,士林區,臺北市私立天母蒙特梭利幼兒園,私立,108
63000,士林區,臺北市私立社中幼兒園,私立,108
63000,士林區,臺北市私立幼天才幼兒園,私立,108
63000,士林區,臺北市私立心愛幼兒園,私立,108
63000,士林區,臺北市私立有緣蒙特梭利幼兒園,私立,108
63000,士林區,臺北市私立弘明幼兒園,私立,108
63000,士林區,臺北市私立求真幼兒園,私立,108
63000,士林區,臺北市私立比特幼兒園,私立,108
63000,士林區,臺北市私立幼安幼兒園,私立,108
63000,士林區,臺北市私立欣光幼兒園,私立,108
63000,士林區,臺北市私立精采童年幼兒園,私立,108
63000,北投區,臺北市私立優格幼兒園,私立,108
63000,北投區,臺北市北投區桃源國民小學附設幼兒園,公立,108
63000,北投區,臺北市私立何嘉仁北投幼兒園,私立,108
63000,北投區,臺北市私立發現蒙特梭利幼兒園,私立,108
63000,北投區,臺北市私立卡蕾兒幼兒園,私立,108
63000,北投區,臺北市私立藍天幼兒園,私立,108
63000,北投區,臺北市私立皇家幼兒園,私立,108
63000,北投區,臺北市私立奎山中學附設幼兒園,私立,108
63000,北投區,臺北市私立華民幼兒園,私立,108
63000,北投區,臺北市私立心美蒙特梭利幼兒園,私立,108
63000,北投區,臺北市私立道生幼兒園,私立,108
63000,內湖區,臺北市私立快樂幼兒園,私立,108
63000,內湖區,臺北市私立塞凡提甜心幼兒園,私立,108
63000,內湖區,臺北市私立諾貝爾幼兒園,私立,108
63000,內湖區,臺北市私立森林學館幼兒園,私立,108
63000,內湖區,臺北市內湖區康寧國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區西湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區南湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區麗山國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區新湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區潭美國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區東湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區內湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區文湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區麗湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區大湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區明湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市內湖區碧湖國民小學附設幼兒園,公立,108
63000,內湖區,臺北市立內湖幼兒園,公立,108
63000,內湖區,臺北市私立柏克立幼兒園,私立,108
63000,內湖區,臺北市私立喬治亞幼兒園,私立,108
63000,內湖區,臺北市私立咪咪幼兒園,私立,108
63000,內湖區,臺北市私立大湖寶貝幼兒園,私立,108
63000,內湖區,臺北市私立夢想幼兒園,私立,108
63000,內湖區,臺北市私立英格幼兒園,私立,108
63000,南港區,臺北市私立新莒光幼兒園,私立,108
63000,南港區,臺北市私立莒光幼兒園,私立,108
63000,南港區,財團法人國光慈善事業基金會附設臺北市私立三軍幼兒園,私立,108
63000,南港區,臺北市私立大華幼兒園,私立,108
63000,南港區,臺北市私立欣苗幼兒園,私立,108
63000,南港區,臺北市私立道生南港幼兒園,私立,108
63000,文山區,臺北市私立吉太幼兒園,私立,108
63000,文山區,私立再興高級中學附設臺北市幼兒園,私立,108
63000,文山區,臺北市私立全能幼兒園,私立,108
63000,文山區,靜心學校財團法人臺北市私立靜心高級中等學校附設幼兒園,私立,108
63000,文山區,臺北市私立三義幼兒園,私立,108
63000,文山區,臺北市私立台北紐西蘭幼兒園,私立,108
63000,文山區,臺北市私立中山國民小學附設幼兒園,私立,108
63000,文山區,臺北市私立和楓園幼兒園,私立,108
63000,文山區,臺北市私立彩虹屋幼兒園,私立,108
