序號,行政區,院所名稱,地址,電話,語音預約
50,63000030,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,(02)27313305,無
51,63000030,劉建宏診所,臺北市大安區大安路二段139號,(02)27002368,無
52,63000030,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,(02)23682333,無
53,63000030,澤星親子診所,臺北市大安區敦化南路1段376號二樓之2,(02)27018848,無
54,63000030,博全婦產科診所,臺北市大安區大安路一段18號,(02)27774427,無
55,63000030,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,(02)23691688,無
56,63000030,啟誠聯合診所,臺北市大安區和平東路二段120號,(02)23784380,無
57,63000030,仁安診所,臺北市大安區和平東路二段175巷34號,(02)27065995,無
58,63000030,瑞森診所,臺北市大安區信義路三段134巷100號,(02)27076002,無
60,63000030,瑞安承芯耳鼻喉科診所,臺北市大安區瑞安街208巷15號,(02)27063723,無
61,63000030,博安家庭醫學診所,臺北市大安區麗水街3號,(02)23567066,無
62,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,(02)25433535,無
63,63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,(02)25433535,無
64,63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,(02)25013363,無
65,63000040,協和婦女醫院,臺北市中山區松江路85巷5號,(02)25072222,無
66,63000040,莊宇龍診所,臺北市中山區北安路637號1樓,(02)25331255,無
67,63000040,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,(02)25222350,無
68,63000040,綠葉親子診所,臺北市中山區農安街12-1號1樓,(02)25935559,無
69,63000040,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,(02)25012312,無
70,63000040,永育樂群診所,臺北市中山區樂群二路210之2號,(02)85012268,無
71,63000040,陳炯輝診所,臺北市中山區民生東路二段103號,(02)25221796,無
72,63000040,榮星診所,臺北市中山區龍江路272號,(02)25168112,無
73,63000040,愛鄰診所,臺北市中山區北安路520-1號,(02)25322333,無
74,63000040,四季和安婦幼診所,臺北市中山區林森北路458號,(02)25677310,無
75,63000040,大直佳恩診所,臺北市中山區北安路591號,(02)25323301,無
76,63000040,大直診所,臺北市中山區北安路595巷2弄2號1樓,(02)25332339,無
77,63000040,北安聯合診所,臺北市中山區北安路569-3號,(02)25337777,無
78,63000040,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,(02)25013109,無
79,63000040,固廉診所,臺北市中山區北安路613號595巷1號地下一層,(02)25323036,無
80,63000040,高固廉診所,臺北市中山區北安路613號,(02)25323036,無
81,63000040,惟廉診所,臺北市中山區北安路595巷1號B1,(02)25323036,無
82,63000040,慶恩小兒科診所,臺北市中山區吉林路117號,(02)25683199,無
83,63000040,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,(02)25152433,無
84,63000040,龍江固廉診所,臺北市中山區龍江路360號,(02)25170093,無
85,63000040,中崙國際診所,臺北市中山區八德路二段305號1樓,(02)27711501,無
86,63000040,寧康聯合診所,臺北市中山區龍江路209巷6-1號,(02)25013862,無
87,63000040,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,(02)25512246,無
88,63000040,晴光診所,臺北市中山區林森北路556號1樓,(02)25853210,無
89,63000040,正恩耳鼻喉科診所,臺北市中山區錦州街321號,(02)25052293,無
90,63000040,農安診所,臺北市中山區農安街62號,(02)25978590,無
91,63000040,德美診所,臺北市中山區北安路596號1樓,(02)25326618,無
92,63000040,向慈耳鼻喉科診所,臺北市中山區錦州街437號,(02)25178880,無
93,63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,(02)23889595,無
94,63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,(02)23916470,無
95,63000050,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,02-2356-7890
96,63000050,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,(02)23210168,無
97,63000050,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,(02)23612323,無
98,63000050,周正成小兒科診所,臺北市中正區徐州路24號,(02)23516830,無
99,63000050,悅心診所,臺北市中正區羅斯福路二段7-2號,(02)23961008,無
100,63000050,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,(02)23818766,無
101,63000050,健康101診所,臺北市中正區牯嶺街97號1樓,(02)23648085,無
102,63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234,無
103,63000060,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,(02)25948971,無
104,63000060,羅源彰診所,臺北市大同區長安西路137號,(02)25552500,無
105,63000060,寧夏診所,臺北市大同區民生西路236號1樓,(02)25586060,無
106,63000060,澤康診所,臺北市大同區重慶北路三段71號,(02)25960922,無
107,63000060,悅昇診所,臺北市大同區錦西街50-1號,(02)25502664,無
108,63000060,施小兒科診所,臺北市大同區重慶北路三段28號,(02)25941935,無
109,63000060,羅志弘診所,臺北市大同區重慶北路三段115號,(02)25921666,無
110,63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,(02)23717101,無
111,63000070,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,(02)23395383,無
112,63000070,快樂兒童診所,臺北市萬華區寶興街121號,(02)23328610,無
113,63000070,青年診所,臺北市萬華區中華路二段424號,(02)23032450,無
114,63000070,漢宗小兒科診所,臺北市萬華區中華路二段434號,(02)23039022,無
115,63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,(02)23076968,無
116,63000070,聖約翰婦產科診所,臺北市萬華區東園街175號,(02)23098502,無
117,63000070,佳安診所,臺北市萬華區青年路34號,(02)23320898,無
118,63000070,益銓診所,臺北市萬華區萬大路233號,(02)23331323,無
119,63000070,光耳鼻喉科診所,臺北市萬華區青年路90號,(02)23077565,無
120,63000070,可為診所,臺北市萬華區青年路24號1樓,(02)23370111,無
121,63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,無
122,63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,(02)82377441,無
123,63000080,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,(02)29333096,無
124,63000080,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,(02)29364708,無
125,63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,(02)22300055,無
126,63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,(02)29334933,無
127,63000080,徐慧玲診所,臺北市文山區興隆路四段97號,(02)22340000,無
128,63000080,興隆內科小兒科診所,臺北市文山區興隆路二段17號,(02)29311736,無
129,63000080,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,(02)29308518,無
130,63000080,瑞萱診所,臺北市文山區景華街124號,(02)29305313,無
131,63000080,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,(02)29395299,無
132,63000080,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,(02)22340158,無
133,63000080,震杰小兒科診所,臺北市文山區景興路129號,(02)89351869,無
134,63000080,黃偉志小兒科診所,臺北市文山區萬慶街12號,(02)29354556,無
135,63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,(02)29339986,無
136,63000080,東翰診所,臺北市文山區興隆路二段139號,(02)29308330,無
137,63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,(02)27861288,無
138,63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,(02)27868756,無
139,63000090,義仁兒科診所,臺北市南港區玉成街138號1樓,(02)26515929,無
140,63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,(02)26513761,無
141,63000090,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,(02)27853913,無
142,63000090,永育醫療福德診所,臺北市南港區福德街320號,(02)27850700,無
143,63000090,天仁小兒科診所,臺北市南港區成福路21號,(02)27862687,無
144,63000090,天仁健康診所,臺北市南港區成福路21號,(02)27862687,無
145,63000090,維康診所,臺北市南港區研究院路二段84巷1號1樓,(02)26517748,無
146,63000090,杏安診所,臺北市南港區同德路74、76號1樓,(02)27892008,無
147,63000090,松展診所,臺北市南港區忠孝東路六段110巷18號,(02)27631373,無
148,63000090,陳志鑫診所,臺北市南港區八德路四段812號,(02)27839698,無
149,63000090,李文珍小兒科診所,臺北市南港區研究院路二段74號,(02)26511871,無
150,63000090,陳勝吉診所,臺北市南港區研究院路一段115號1樓,(02)27836972,無
151,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,(02)87923311,無
152,63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,無
153,63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,(02)27908387,無
154,63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,(02)27919696,無
155,63000100,魏穀年診所,臺北市內湖區內湖路一段403號,(02)26572691,無
156,63000100,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,(02)55713333,無
157,63000100,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,(02)55713333,無
158,63000100,永育醫療大湖診所,臺北市內湖區成功路四段366號,(02)27906002,無
159,63000100,湖欣診所,臺北市內湖區成功路四段327號,(02)27918350,無
160,63000100,劉淦華診所,臺北市內湖區金龍路43號,(02)27905374,無
161,63000100,佳霖診所,臺北市內湖區東湖路147號2樓,(02)26334535,無
162,63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,(02)26308800,無
163,63000100,焉醫師診所,臺北市內湖區內湖路二段21號,(02)27995008,無
164,63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,(02)26596360,無
165,63000100,馬思特診所,臺北市內湖區成功路四段53號1樓,(02)27925994,無
166,63000100,高峰診所,臺北市內湖區內湖路二段39號1樓,(02)26591888,無
167,63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,(02)87972121,無
168,63000100,林登山耳鼻喉科診所,臺北市內湖區文德路96號,(02)26596638,無
169,63000100,連安診所,臺北市內湖區內湖路一段619號1樓,(02)26276705,無
170,63000100,雙湖診所,臺北市內湖區金龍路49號,(02)27910066,無
171,63000100,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,(02)26306968,無
172,63000100,林永正診所,臺北市內湖區康樂街130號,(02)26315567,無
173,63000100,日新診所,臺北市內湖區成功路五段446號1樓,(02)26342743,無
174,63000100,王慶森診所,臺北市內湖區港墘路65號,(02)27986052,無
175,63000100,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,(02)27935940,無
176,63000100,育睿診所,臺北市內湖區內湖路一段217巷35號,(02)26560801,無
177,63000100,康育診所,臺北市內湖區成功路三段189號2樓,(02)27909134,無
178,63000100,陽光活力診所,臺北市內湖區瑞光路500號1樓,(02)87973828,無
179,63000100,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,(02)87920955,無
180,63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,(02)28332211,無
181,63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,(02)28353456,無
182,63000110,愛林診所,臺北市士林區承德路四段222號,(02)28836881,無
183,63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,(02)28836268,無
184,63000110,士林小兒科診所,臺北市士林區中正路249號,(02)28812485,無
185,63000110,存德小兒科診所,臺北市士林區文林路460號,(02)28342567,無
186,63000110,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,(02)28729980,無
187,63000110,佩佩婦幼診所,臺北市士林區中山北路六段182號,(02)28386262,無
188,63000110,科安診所,臺北市士林區社中街116號,(02)28110699,無
189,63000110,張虔熙小兒科診所,臺北市士林區中山北路六段282號,(02)28361368,無
190,63000110,樹爸爸親子診所,臺北市士林區德行東路286號,(02)28381838,無
191,63000110,蘇慧卿診所,臺北市士林區大南路274號,(02)28829955,無
192,63000110,何小兒科診所,臺北市士林區福港街176號,(02)28827401,無
193,63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號1樓,(02)28386090,無
194,63000110,柳橙親子診所,臺北市士林區天母北路35號14樓,(02)28742818,無
195,63000110,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,(02)28126415,無
196,63000110,小禾馨士林小兒專科診所,臺北市士林區中正路289號,(02)28827333,無
197,63000110,和謙耳鼻喉科診所,臺北市士林區社中街362號,(02)28165678,無
198,63000110,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,(02)88661176,無
199,63000110,粱耳鼻喉科診所,臺北市士林區社正路12之1號,(02)28168456,無
200,63000110,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,(02)28316878,無
201,63000110,橙光耳鼻喉科診所,臺北市士林區大南路286號,(02)28883222,無
202,63000110,耀明診所,臺北市士林區中正路322號,(02)28320657,無
203,63000110,永捷診所,臺北市士林區社子街67號1樓,(02)28111472,無
204,63000110,政吉診所,臺北市士林區士東路67號,(02)28748318,無
205,63000110,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,(02)28123595,無
206,63000120,臺北榮民總醫院,臺北市北投區石牌路二段201號,(02)28712121,無
207,63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,(02)28264400,無
208,63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區公舘路198號4樓,(02)28912670,無
209,63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,(02)28210501,無
210,63000120,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,(02)28206886,無
211,63000120,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,(02)28271110,無
212,63000120,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,(02)28221212,無
213,63000120,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,(02)28928950,無
214,63000120,黃正宏診所,臺北市北投區西安街一段359號,(02)28217076,無
215,63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,(02)28587000,無
216,63000120,昱德聯合診所,臺北市北投區光明路102號1樓,(02)28975050,無
217,63000120,清田婦產科家醫科診所,臺北市北投區中和街268號,(02)28931323,無
218,63000120,陳柏宏親子診所,臺北市北投區明德路124號,(02)28225257,無
219,63000120,和勤診所,臺北市北投區中央北路四段543號1樓,(02)28942339,無
220,63000120,陳信方小兒科診所,臺北市北投區明德路106號,(02)28201068,無
221,63000120,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,(02)28983256,無
222,63000120,蔡秉勳小兒科診所,臺北市北投區中和街281號,(02)28966525,無
223,63000120,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,(02)28978787,無
224,63000120,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,(02)28200022,無
