NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
川淇水電工程有限公司,北市水證丙字第000203號,重慶北路三段16號,陳津琪,301801,2773052
鴻陽運動事業有限公司,北市水證乙字第001002號,忠孝東路一段76號11樓之3,邱祥檜,302872,2770804
垣登工程有限公司,北市水證甲字第002690號,基隆路1段10號3樓之1,曾淑芬,307500.865,2771511.968
建越科技工程股份有限公司,北市水證甲字第003058號,洲子街178號4樓,賴杉桂,306699,2775013
三群工程有限公司,北市水證甲字第002577號,延吉街30巷8號,游淑滿,305805.024,2771015.9
思納捷科技股份有限公司,北市水證甲字第003174號,民生東路四段133號10樓,井琪,305939,2772371
威星電機工程行,北市水證甲字第001239號,民生東路4段97巷4弄19號1樓,紀俊彥,305813.384,2772431.244
霈德工程有限公司,北市水證甲字第001005號,寶清街89巷20號2樓,謝德記,307387.464,2771686.338
泓洲水電工程有限公司,北市水證甲字第001843號,寶清街45號3樓,鄧敏郎,307385.226,2771518.892
晃朗工程有限公司,北市水證乙字第001004號,塔悠路235號,蕭一基,307426,2772510
富台水電工程有限公司,北市水證丙字第000005號,下崙路25號1樓,蔡榮冠,307252.906,2772059.967
鴻迪工程有限公司,北市水證甲字第003176號,承德路一段35號7樓之2,張之遠,302197,2771537
澄顥水電工程有限公司,北市水證甲字第003083號,八德路四段871號3樓之5,鄭卓信,308553,2771553
盛悅工程股份有限公司,北市水證甲字第002731號,八德路3段230號10樓之1,曾添富,306224.433,2771212.671
台灣管線檢測有限公司,北市水證甲字第003179號,江南街71巷93弄17號7樓,黃伊萍,308501,2774171
全基企業有限公司,北市水證甲字第003178號,林森北路362號2樓,林燕,302999,2772234
華福水電工程股份有限公司,北市水證甲字第003180號,民生東路五段153號10樓之2,徐秀菊,306738,2772435
特欣行開發股份有限公司,北市水證甲字第003181號,民善街89號,謝有全,308091,2772584
大盈水電工程有限公司,北市水證甲字第001030號,延壽街330巷20弄33號1樓,張美英,306417.401,2771913.953
世欣工程有限公司,北市水證甲字第001533號,寧安街5巷8號1樓,蕭正義,305975.035,2771337.203
亞通能源科技股份有限公司,北市水證甲字第003182號,重慶南路一段57號9樓之3,呂元瑞,301799,2770818
