縣市,編號,寵物登記機構名稱,地址,電話
臺北市,V05110,大安動物醫院公館分院,中正區羅斯福路4段162號1樓,23686770
臺北市,V05111,愛屋動物醫院,中正區南昌路1段55號1、2樓,23567320
臺北市,V05112,長生皇家柯基寵物館,中正區寧波西街6號1樓,935201542
臺北市,V06004,正安動物醫院,大同區民權西路240號,25571757
臺北市,V06007,全民連鎖動物醫院總院,大同區民生西路247、249號,25530371
臺北市,V06008,弘愛犬貓專科醫院,大同區民生西路105號1樓,25503892
臺北市,V06020,皇家動物醫院,大同區民族西路228號1樓,25960967
臺北市,V06022,永新動物醫院,大同區重慶北路3段185號1樓,25982889
臺北市,V06023,傑翔動物醫院,大同區民權西路270之2號1樓,25573343
臺北市,V06024,慈愛動物醫院寧夏分院,大同區寧夏路1號,25563320
臺北市,V06025,長沁動物醫院,大同區承德路3段9號1樓,25992119
臺北市,V06027,旺竹動物醫院,大同區承德 路3段142號1樓,25996230
臺北市,V06033,長青動物醫院急診科分院,大同區長安西路289-1號,25591793
臺北市,V06034,悠樂寵物有限公司,大同區平陽街25號1樓,953856320
臺北市,V05037,長青動物醫院,萬華區廣州街78號、78-1號1、2樓,23369908
臺北市,V07005,保全獸醫院,萬華區西藏路324、326號,23024375
臺北市,V07007,環南動物醫院,萬華區和平西路3段205號1樓,23020109
臺北市,V07009,萬華動物醫院,萬華區昆明街165號1樓,23614831
臺北市,V07012,古德動物醫院,萬華區西園路2段194號1樓,23088986/ 23088289
臺北市,V07013,華中動物醫院,萬華區萬大路227號,23328572
臺北市,V07014,雙園動物醫院,萬華區西園路2段105號,23084409
臺北市,V07016,翊心動物醫院,萬華區西園路2段175號1樓,23055518
臺北市,V07017,康寧動物醫院,萬華區長沙街2段157號,23831528
臺北市,V07018,艋舺動物醫院,萬華區萬大路365號1樓,23010365
臺北市,V07019,志誠動物醫院,萬華區萬大路536號1樓,23056634
臺北市,V07027,沐訊科技股份有限公司,萬華區長沙街2段111-1號2樓,23831698
臺北市,V07028,寶血動物醫院,萬華區中華路2段6號,23880110
臺北市,V07033,聯合動物醫院,萬華區寶興街136號1樓,23328089
臺北市,V08001,品安動物醫院,文山區羅斯福路6段89號1樓,29359188
臺北市,V08002,景美動物醫院,文山區羅斯福路6段6號,29310850
臺北市,V08003,維拉動物醫院,文山區興隆路1段94號,29333872
臺北市,V08005,世安動物醫院,文山區興隆路3段298-2號,22306841
臺北市,V08006,再興動物醫院,文山區興隆路1段1號,29342899
臺北市,V08008,木新動物醫院,文山區木新路3段133-2號1樓,29362748
臺北市,V08009,自強動物醫院,文山區興隆路4段108號,29372852
臺北市,V08010,靜心獸醫院,文山區興隆路2段13號,29330562
臺北市,V08011,正吉動物醫院,文山區羅斯福路5段47-1號,29347505
臺北市,V08012,康禾動物醫院,文山區興隆路4段159-1號,29374998
臺北市,V08014,路加動物醫院,文山區興隆路2段187號,55852108
臺北市,V08016,達仁動物醫院,文山區木柵路2段133號1樓,29371558
臺北市,V08017,安心動物醫院,文山區羅斯福路5段17號1樓,29326935
臺北市,V08018,大群動物醫院,文山區羅斯福路6段136號1樓,29305557
臺北市,V08019,締爾動物醫院,文山區樟新街11之1、11之2號,29388211
臺北市,V08020,景文動物醫院,文山區景文街29號1樓,89319955
臺北市,V08021,景興動物醫院,文山區景華街92號1樓,29330600
臺北市,V08022,加恩動物醫院,文山區木柵路1段102號1樓,22360117
臺北市,V08023,朱動物醫院,文山區仙岩路62號1樓,29332880
臺北市,V08024,得水集寵股份有限公司,文山區木柵路2段27號1樓,29398586
臺北市,V08025,輕清國際有限公司,文山區景後街162號3樓,66090119
臺北市,V09004,洪生動物醫院,南港區忠孝東路7段571號,27833715
臺北市,V09005,啟正動物醫院,南港區南港路1段289~1號1樓,26517616
臺北市,V09006,中研動物醫院,南港區研究院路1段72號1樓,26512100
臺北市,V09007,維恩動物醫院,南港區東新街132號1樓,26515527
臺北市,V09008,祐熙動物醫院,南港區玉成街66-26號,26519198
臺北市,V09009,純粹動物醫院,南港區興中路80巷24號,27830673
臺北市,V09010,小布動物醫院,南港區永吉路548號,26547337
臺北市,V09011,亞各特殊寵物醫院,南港區研究院路1段101巷12號,26533636
臺北市,V09012,軒墨工作室,南港區向陽路162巷100號2樓,933190290
臺北市,V09013,勾勾動物醫院,南港區重陽路144號,26510144
臺北市,V09014,芋妮貓寵物生活館,南港區重陽路125巷16號1樓,926660525
臺北市,V01040,嘉寵動物醫院,南港區忠孝東路5段982號1樓,983716625
臺北市,V02014,動物保護處(動物之家),內湖區安美街191號,87913254~55
