統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
53116521,運達航運股份有限公司,臺北市中山區南京東路3段168號8樓,115/04/01,121.541497,25.051676
53323090,永麗開發實業股份有限公司,臺北市中正區重慶南路1段83號6樓,115/04/01,121.513338,25.043755
53325549,合盛礦業股份有限公司,臺北市中山區中山北路2段113號10樓,115/04/01,121.523259,25.060676
53331583,輝雄生研國際股份有限公司,臺北市信義區基隆路1段206號18樓,115/04/01,121.56334,25.039826
53345307,若水環境整合股份有限公司,臺北市松山區富錦街116號,115/04/01,121.552898,25.059657
53531267,好書服文創事業股份有限公司,臺北市大安區仁愛路4段2號11樓,115/04/01,121.54406,25.037673
53549490,福旺投資股份有限公司,臺北市松山區八德路4段520號10樓,115/04/01,121.571113,25.049672
53581765,樂透旅行社有限公司,臺北市松山區南京東路4段1號6樓,115/04/01,121.549637,25.051919
53746268,澳汰爾工程有限公司,臺北市信義區信義路4段460號14樓之1,115/04/01,121.558797,25.032823
53749130,全凱建設股份有限公司,臺北市北投區振興街31號1樓,115/04/01,121.522347,25.117986
53916621,美麗信酒店股份有限公司北區分公司,臺北市大安區市民大道3段206號6樓,115/04/01,121.53998,25.044377
53925190,三友藥妝股份有限公司,臺北市中山區民權東路3段4號地下1層,115/04/01,121.538608,25.06212
53953505,艾莉伊有限公司,臺北市中山區中山北路2段27巷5號7樓,115/04/01,121.523715,25.053298
53955996,風尚精選股份有限公司,臺北市大安區忠孝東路4段59號4樓之3,115/04/01,121.545806,25.041792
54033773,鼎基建設有限公司,臺北市大安區安和路1段32號12樓之3,115/04/01,121.550757,25.038377
54153376,加達汽車股份有限公司,臺北市中山區民權東路3段33號3樓,115/04/01,121.542063,25.062586
54187663,世邦海運股份有限公司,臺北市中山區南京東路3段200號10樓,115/04/01,121.543074,25.051677
54325321,禾榮知識產權股份有限公司,臺北市大同區延平北路1段110號2樓之3,115/04/01,121.511723,25.052851
54328214,恆永企業有限公司,臺北市中山區新生北路3段12號9樓,115/04/01,121.527387,25.063348
54337945,世軒技研有限公司,臺北市信義區莊敬路289巷3弄37號,115/04/01,121.562669,25.029699
54504324,城市電視科技媒體有限公司,臺北市大安區忠孝東路4段183號13樓之2,115/04/01,121.550901,25.041689
54511063,大華人力管理顧問有限公司,臺北市大安區忠孝東路4段270號10樓之2,115/04/01,121.554847,25.041186
54616138,繪聖股份有限公司,臺北市萬華區西寧南路36之9號1樓,115/04/01,121.506375,25.045629
54672969,聚界生技股份有限公司,臺北市松山區塔悠路288號2樓之1,115/04/01,121.56873,25.05955
54714335,食在加分股份有限公司,臺北市大安區忠孝東路4段97號3樓之9,115/04/01,121.547955,25.041754
55665986,張本商事有限公司,臺北市大安區仁愛路4段228之6號1樓,115/04/01,121.55215,25.037282
55690063,晶億企業股份有限公司,臺北市松山區南京東路3段287號9樓,115/04/01,121.546149,25.051998
55766056,麗莎興業有限公司,臺北市中正區和平西路2段13號,115/04/01,121.513949,25.028257
